recording_id,dataset_id,subject_id,label,relative_path,n_rows,duration_s,median_dt_ms,min_dt_ms,max_dt_ms,non_increasing_steps,gaps_over_100ms
dataset_a:imu_20260721_223610,dataset_a,BIBI,non_tremor,data/raw/dataset_a/nontremor_BIBI/imu_20260721_223610.csv,2000,20.001,10.0,9.0,11.0,0,0
dataset_a:imu_20260721_223637,dataset_a,BIBI,non_tremor,data/raw/dataset_a/nontremor_BIBI/imu_20260721_223637.csv,2000,20.002,10.0,5.0,15.0,0,0
dataset_a:imu_20260721_223912,dataset_a,BIBI,non_tremor,data/raw/dataset_a/nontremor_BIBI/imu_20260721_223912.csv,2000,20.004,10.0,9.0,11.0,0,0
dataset_a:imu_20260721_223934,dataset_a,BIBI,non_tremor,data/raw/dataset_a/nontremor_BIBI/imu_20260721_223934.csv,2000,20.001,10.0,9.0,11.0,0,0
dataset_a:imu_20260721_223956,dataset_a,BIBI,non_tremor,data/raw/dataset_a/nontremor_BIBI/imu_20260721_223956.csv,2000,20.002,10.0,5.0,15.0,0,0
dataset_a:imu_20260721_224325,dataset_a,BIBI,non_tremor,data/raw/dataset_a/nontremor_BIBI/imu_20260721_224325.csv,2000,20.004,10.0,7.0,13.0,0,0
dataset_a:imu_20260721_224347,dataset_a,BIBI,non_tremor,data/raw/dataset_a/nontremor_BIBI/imu_20260721_224347.csv,2000,20.003,10.0,9.0,11.0,0,0
dataset_a:imu_20260721_224411,dataset_a,BIBI,non_tremor,data/raw/dataset_a/nontremor_BIBI/imu_20260721_224411.csv,2000,20.003,10.0,5.0,15.0,0,0
dataset_a:imu_20260721_224433,dataset_a,BIBI,non_tremor,data/raw/dataset_a/nontremor_BIBI/imu_20260721_224433.csv,2000,20.001,10.0,8.0,12.0,0,0
dataset_a:imu_20260721_224454,dataset_a,BIBI,non_tremor,data/raw/dataset_a/nontremor_BIBI/imu_20260721_224454.csv,2001,20.007,10.0,7.0,13.0,0,0
dataset_a:imu_20260721_203653,dataset_a,euno,non_tremor,data/raw/dataset_a/nontremor_euno/imu_20260721_203653.csv,2001,20.001,10.0,5.0,15.0,0,0
