elapsed_ms,acc_x_g,acc_y_g,acc_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,angle_x_deg,angle_y_deg,angle_z_deg
0,0.7402,0.0059,-0.6890,-0.122,0.122,0.000,179.846,-47.225,147.003
10,0.7397,0.0063,-0.6880,-0.061,0.000,0.000,179.841,-47.219,147.003
20,0.7422,0.0073,-0.6875,0.000,-0.061,0.061,179.835,-47.219,147.003
30,0.7422,0.0044,-0.6865,0.122,-0.183,0.000,179.835,-47.219,147.003
40,0.7422,0.0039,-0.6860,0.183,-0.183,-0.122,179.835,-47.219,147.003
50,0.7441,0.0039,-0.6841,0.183,-0.183,-0.244,179.835,-47.219,147.003
60,0.7451,0.0039,-0.6860,0.183,-0.183,-0.244,179.830,-47.219,147.003
70,0.7427,0.0029,-0.6841,0.122,-0.122,-0.244,179.830,-47.219,147.003
80,0.7417,0.0024,-0.6841,0.061,0.000,-0.305,179.824,-47.219,147.003
90,0.7422,0.0029,-0.6855,0.000,0.061,-0.183,179.824,-47.219,147.003
100,0.7417,0.0015,-0.6855,0.061,0.061,-0.122,179.824,-47.219,147.003
110,0.7412,0.0020,-0.6860,0.122,0.122,0.000,179.824,-47.225,147.003
120,0.7417,0.0034,-0.6880,0.183,0.122,0.061,179.824,-47.225,147.003
130,0.7422,0.0024,-0.6860,0.305,0.122,0.183,179.830,-47.225,147.003
140,0.7412,0.0039,-0.6865,0.244,0.122,0.244,179.835,-47.225,147.003
150,0.7427,0.0039,-0.6865,0.122,0.061,0.244,179.835,-47.225,147.003
160,0.7432,0.0039,-0.6895,0.061,0.061,0.183,179.835,-47.225,147.003
170,0.7412,0.0029,-0.6870,0.000,0.000,0.122,179.835,-47.225,147.003
180,0.7437,0.0020,-0.6860,0.000,0.000,0.061,179.835,-47.225,147.003
190,0.7437,0.0034,-0.6860,-0.061,-0.061,0.000,179.835,-47.230,147.003
200,0.7422,0.0024,-0.6851,-0.122,-0.061,0.000,179.835,-47.230,147.003
210,0.7417,0.0039,-0.6851,-0.244,-0.122,0.061,179.830,-47.225,147.003
220,0.7412,0.0059,-0.6860,-0.183,-0.183,0.122,179.824,-47.225,147.003
230,0.7417,0.0029,-0.6836,0.000,-0.122,0.183,179.830,-47.225,147.003
240,0.7412,0.0044,-0.6860,0.183,-0.061,0.244,179.830,-47.225,147.003
250,0.7427,0.0034,-0.6851,0.244,0.000,0.305,179.835,-47.225,147.003
261,0.7427,0.0039,-0.6860,0.183,0.061,0.305,179.841,-47.225,147.003
270,0.7432,0.0039,-0.6865,0.183,0.061,0.122,179.841,-47.230,147.003
280,0.7422,0.0020,-0.6899,0.122,0.122,0.000,179.841,-47.230,147.003
290,0.7417,0.0034,-0.6865,0.061,0.183,-0.122,179.841,-47.230,147.003
300,0.7402,0.0063,-0.6880,-0.122,0.244,-0.183,179.830,-47.230,147.003
310,0.7407,0.0063,-0.6875,-0.183,0.244,-0.244,179.824,-47.230,147.003
320,0.7432,0.0059,-0.6865,-0.122,0.122,-0.244,179.819,-47.236,147.003
330,0.7437,0.0039,-0.6890,0.061,0.061,-0.244,179.813,-47.236,147.003
340,0.7437,0.0020,-0.6875,0.122,0.000,-0.244,179.813,-47.236,147.003
352,0.7441,-0.0005,-0.6865,0.061,-0.122,-0.183,-179.956,-47.236,147.003
360,0.7427,-0.0005,-0.6860,-0.122,-0.183,-0.122,-179.962,-47.230,147.003
370,0.7432,0.0010,-0.6870,-0.244,-0.183,-0.061,179.918,-47.230,147.003
380,0.7432,0.0010,-0.6875,-0.305,-0.061,-0.061,179.912,-47.230,147.003
390,0.7402,0.0010,-0.6846,-0.183,0.061,-0.061,179.912,-47.230,147.003
400,0.7412,0.0034,-0.6860,-0.122,0.122,-0.061,179.907,-47.230,147.003
410,0.7407,0.0044,-0.6890,-0.183,0.061,-0.061,179.901,-47.230,147.003
420,0.7422,0.0039,-0.6860,-0.122,0.061,-0.122,179.896,-47.236,147.003
430,0.7407,0.0073,-0.6860,-0.061,0.000,-0.183,179.890,-47.230,147.003
440,0.7407,0.0049,-0.6836,0.061,-0.061,-0.122,179.885,-47.230,147.003
450,0.7407,0.0054,-0.6851,-0.061,-0.183,-0.122,179.879,-47.230,147.003
460,0.7412,0.0059,-0.6875,-0.122,-0.244,-0.183,179.874,-47.230,147.003
470,0.7412,0.0049,-0.6855,-0.061,-0.305,-0.183,179.868,-47.225,147.003
480,0.7402,0.0044,-0.6880,0.000,-0.305,-0.183,179.863,-47.219,147.003
490,0.7422,0.0029,-0.6865,0.000,-0.183,-0.183,179.857,-47.219,147.003
500,0.7402,0.0034,-0.6846,0.061,0.000,-0.183,179.857,-47.219,147.003
510,0.7422,0.0015,-0.6826,0.183,0.122,-0.244,179.857,-47.225,147.003
520,0.7432,0.0039,-0.6855,0.183,0.183,-0.244,179.852,-47.225,147.003
530,0.7446,0.0039,-0.6846,0.122,0.183,-0.244,179.852,-47.230,147.003
540,0.7432,0.0029,-0.6860,0.061,0.183,-0.244,179.846,-47.230,147.003
550,0.7446,0.0034,-0.6860,0.122,0.183,-0.183,179.846,-47.236,147.003
560,0.7432,0.0034,-0.6855,0.122,0.122,-0.183,179.841,-47.236,147.003
570,0.7437,0.0029,-0.6885,0.183,0.122,-0.122,179.841,-47.236,147.003
580,0.7412,0.0034,-0.6890,0.122,0.122,-0.061,179.841,-47.236,147.003
590,0.7383,0.0034,-0.6870,0.061,0.061,-0.061,179.841,-47.236,147.003
600,0.7388,0.0034,-0.6875,-0.061,0.061,0.000,179.841,-47.236,147.003
610,0.7427,0.0020,-0.6885,0.061,0.061,0.122,179.841,-47.236,147.003
620,0.7402,0.0015,-0.6865,0.244,0.061,0.122,179.846,-47.236,147.003
630,0.7393,0.0010,-0.6851,0.244,0.122,0.122,179.852,-47.236,147.003
640,0.7397,0.0029,-0.6870,0.061,0.183,0.183,179.852,-47.236,147.003
650,0.7412,0.0034,-0.6860,-0.061,0.183,0.244,179.852,-47.241,147.003
660,0.7422,0.0024,-0.6875,0.000,0.061,0.183,179.852,-47.241,147.003
670,0.7412,0.0024,-0.6870,0.122,0.000,0.244,179.857,-47.241,147.003
680,0.7427,0.0029,-0.6855,0.305,0.000,0.244,179.863,-47.241,147.003
690,0.7441,0.0034,-0.6846,0.305,-0.061,0.305,179.863,-47.241,147.003
700,0.7427,0.0024,-0.6851,0.122,-0.244,0.244,179.868,-47.241,147.003
710,0.7437,0.0020,-0.6841,-0.122,-0.366,0.244,179.868,-47.236,147.003
720,0.7432,0.0024,-0.6855,-0.183,-0.366,0.183,179.868,-47.236,147.003
730,0.7451,0.0020,-0.6841,-0.305,-0.244,0.183,179.868,-47.236,147.003
740,0.7407,0.0034,-0.6836,-0.183,-0.122,0.244,179.868,-47.236,147.003
750,0.7397,0.0039,-0.6836,-0.061,0.000,0.305,179.868,-47.236,147.003
761,0.7417,0.0034,-0.6846,0.061,0.061,0.366,179.868,-47.236,147.003
770,0.7417,0.0039,-0.6846,0.122,0.244,0.366,179.874,-47.236,147.003
780,0.7407,0.0049,-0.6855,0.244,0.427,0.366,179.879,-47.241,147.003
790,0.7407,0.0039,-0.6870,0.183,0.488,0.305,179.879,-47.247,147.003
800,0.7427,0.0044,-0.6870,0.122,0.366,0.122,179.879,-47.252,147.003
810,0.7422,0.0054,-0.6885,0.000,0.305,0.000,179.879,-47.252,147.003
820,0.7422,0.0039,-0.6899,-0.122,0.122,-0.122,179.874,-47.252,147.003
830,0.7427,0.0059,-0.6870,-0.183,-0.061,-0.183,179.863,-47.252,147.003
840,0.7422,0.0039,-0.6855,-0.122,-0.183,-0.183,179.857,-47.247,147.003
850,0.7437,0.0044,-0.6870,0.000,-0.244,-0.183,179.857,-47.247,147.003
860,0.7422,0.0049,-0.6865,0.061,-0.244,-0.244,179.852,-47.247,147.003
870,0.7432,0.0029,-0.6865,0.122,-0.183,-0.244,179.846,-47.241,147.003
880,0.7417,0.0044,-0.6870,0.183,-0.122,-0.244,179.846,-47.241,147.003
890,0.7412,0.0034,-0.6855,0.244,0.000,-0.244,179.846,-47.241,147.003
900,0.7422,0.0010,-0.6851,0.244,0.122,-0.244,179.846,-47.241,147.003
910,0.7412,0.0015,-0.6841,0.183,0.183,-0.305,179.841,-47.247,147.003
920,0.7437,0.0024,-0.6841,0.061,0.244,-0.305,179.841,-47.252,147.003
930,0.7437,0.0034,-0.6841,0.000,0.183,-0.305,179.835,-47.252,147.003
940,0.7402,0.0024,-0.6826,0.000,0.122,-0.244,179.830,-47.258,147.003
950,0.7412,0.0024,-0.6826,0.000,0.122,-0.183,179.830,-47.258,147.003
960,0.7437,0.0029,-0.6841,0.000,0.061,-0.061,179.830,-47.258,147.003
970,0.7422,0.0034,-0.6836,0.122,0.061,-0.061,179.830,-47.263,147.003
980,0.7402,0.0015,-0.6875,0.183,0.000,-0.061,179.830,-47.258,147.003
991,0.7402,0.0024,-0.6860,0.183,0.000,-0.061,179.830,-47.258,147.003
1000,0.7407,0.0029,-0.6870,0.122,0.000,-0.061,179.830,-47.258,147.003
1010,0.7402,0.0024,-0.6855,0.000,0.000,-0.122,179.830,-47.258,147.003
1021,0.7407,0.0029,-0.6846,-0.122,0.000,-0.183,179.824,-47.258,147.003
1031,0.7412,0.0024,-0.6841,-0.122,0.000,-0.244,179.819,-47.258,147.003
1041,0.7427,0.0029,-0.6865,-0.122,0.000,-0.244,179.813,-47.258,147.003
1050,0.7422,0.0015,-0.6860,-0.061,0.000,-0.183,179.813,-47.258,147.003
1061,0.7412,0.0029,-0.6870,0.000,-0.061,-0.122,179.813,-47.258,147.003
1071,0.7397,0.0020,-0.6855,0.000,-0.061,-0.061,179.813,-47.258,147.003
1081,0.7402,0.0034,-0.6870,0.061,-0.061,0.000,179.813,-47.252,147.003
1090,0.7422,0.0015,-0.6865,0.000,0.000,0.000,179.813,-47.252,147.003
1101,0.7427,0.0029,-0.6855,0.061,0.000,0.061,179.813,-47.252,147.003
1111,0.7441,0.0024,-0.6865,0.122,0.061,0.061,179.813,-47.258,147.003
1121,0.7432,0.0039,-0.6865,0.061,0.122,0.061,179.813,-47.258,147.003
1131,0.7432,0.0029,-0.6860,-0.061,0.061,0.000,179.813,-47.258,147.003
1140,0.7432,0.0044,-0.6855,-0.061,0.000,0.000,179.808,-47.258,147.003
1151,0.7412,0.0034,-0.6855,0.122,0.061,-0.061,179.808,-47.258,147.003
1161,0.7417,0.0029,-0.6860,0.244,0.183,-0.122,179.808,-47.263,147.003
1171,0.7402,0.0049,-0.6865,0.183,0.244,-0.244,179.808,-47.263,147.003
1181,0.7412,0.0054,-0.6870,0.122,0.122,-0.366,179.802,-47.263,147.003
1191,0.7422,0.0039,-0.6870,0.000,0.061,-0.366,179.797,-47.263,147.003
1201,0.7427,0.0039,-0.6841,-0.061,0.061,-0.488,179.791,-47.263,147.003
1211,0.7427,0.0024,-0.6831,-0.122,0.000,-0.488,179.786,-47.269,147.003
1221,0.7432,0.0015,-0.6860,-0.122,-0.122,-0.427,179.780,-47.263,147.003
1231,0.7412,0.0010,-0.6836,-0.183,-0.305,-0.305,179.775,-47.263,147.003
1241,0.7417,0.0005,-0.6860,-0.244,-0.305,-0.122,179.775,-47.258,147.003
1251,0.7417,-0.0010,-0.6880,-0.183,-0.183,0.061,-179.918,-47.258,147.003
1262,0.7427,0.0005,-0.6860,0.000,0.061,0.183,179.956,-47.258,147.003
1271,0.7432,0.0015,-0.6860,0.122,0.244,0.305,179.962,-47.263,147.003
1281,0.7451,0.0029,-0.6885,0.122,0.305,0.305,179.962,-47.263,147.003
1291,0.7422,0.0034,-0.6880,-0.061,0.244,0.183,179.962,-47.263,147.003
1301,0.7402,0.0039,-0.6914,-0.183,0.122,0.061,179.956,-47.263,147.003
1311,0.7407,0.0078,-0.6870,-0.244,-0.061,-0.061,179.951,-47.263,147.003
1321,0.7417,0.0073,-0.6875,-0.183,-0.244,-0.183,179.940,-47.258,147.003
1331,0.7422,0.0059,-0.6870,-0.122,-0.366,-0.183,179.929,-47.252,147.003
1341,0.7407,0.0063,-0.6860,-0.122,-0.427,-0.244,179.923,-47.252,147.003
1351,0.7402,0.0063,-0.6865,-0.122,-0.427,-0.244,179.912,-47.247,147.003
1361,0.7393,0.0054,-0.6851,0.000,-0.305,-0.244,179.907,-47.241,147.003
1371,0.7393,0.0039,-0.6836,0.061,-0.122,-0.244,179.901,-47.241,147.003
1381,0.7417,0.0029,-0.6841,0.122,0.000,-0.183,179.901,-47.241,147.003
1391,0.7437,0.0039,-0.6836,0.244,0.122,-0.122,179.901,-47.247,147.003
1401,0.7437,0.0015,-0.6841,0.305,0.244,0.000,179.901,-47.247,147.003
1411,0.7437,-0.0010,-0.6851,0.366,0.305,0.000,-179.918,-47.252,147.003
1421,0.7441,0.0015,-0.6851,0.305,0.244,0.061,179.874,-47.258,147.003
1431,0.7446,0.0010,-0.6860,0.244,0.244,0.061,179.879,-47.258,147.003
1441,0.7427,0.0005,-0.6885,0.061,0.183,0.061,179.879,-47.258,147.003
1451,0.7422,0.0015,-0.6855,0.000,0.183,0.122,179.879,-47.263,147.003
1461,0.7417,0.0029,-0.6885,-0.061,0.183,0.061,179.879,-47.263,147.003
1471,0.7417,0.0029,-0.6880,-0.122,0.122,0.122,179.879,-47.263,147.003
1481,0.7393,0.0049,-0.6890,-0.122,0.000,0.244,179.879,-47.263,147.003
1491,0.7388,0.0034,-0.6890,0.061,-0.183,0.305,179.879,-47.258,147.003
1501,0.7373,0.0020,-0.6860,0.183,-0.122,0.366,179.885,-47.252,147.003
1511,0.7393,0.0010,-0.6880,0.244,0.000,0.488,179.896,-47.252,147.003
1521,0.7393,0.0039,-0.6895,0.244,0.061,0.488,179.901,-47.252,147.003
1531,0.7412,0.0049,-0.6885,0.305,0.122,0.427,179.901,-47.252,147.003
1541,0.7437,0.0044,-0.6875,0.244,0.061,0.366,179.907,-47.252,147.003
1551,0.7446,0.0044,-0.6885,0.244,0.061,0.305,179.912,-47.252,147.003
1561,0.7441,0.0039,-0.6890,0.122,0.061,0.244,179.912,-47.252,147.003
1571,0.7451,0.0054,-0.6890,-0.061,-0.061,0.183,179.907,-47.252,147.003
1581,0.7451,0.0020,-0.6851,-0.122,-0.244,0.183,179.907,-47.252,147.003
1591,0.7427,0.0034,-0.6831,-0.183,-0.366,0.183,179.907,-47.247,147.003
1601,0.7417,0.0029,-0.6836,-0.183,-0.427,0.244,179.907,-47.247,147.003
1611,0.7407,0.0034,-0.6841,-0.061,-0.244,0.305,179.907,-47.241,147.003
1621,0.7412,0.0024,-0.6846,0.061,-0.122,0.366,179.912,-47.241,147.003
1631,0.7383,0.0024,-0.6870,0.061,0.061,0.366,179.912,-47.241,147.003
1641,0.7388,0.0020,-0.6855,0.061,0.244,0.305,179.918,-47.241,147.003
1651,0.7407,0.0054,-0.6855,0.061,0.488,0.305,179.918,-47.247,147.003
1661,0.7407,0.0088,-0.6860,0.122,0.549,0.305,179.918,-47.252,147.003
1671,0.7407,0.0078,-0.6880,0.183,0.610,0.244,179.912,-47.258,147.003
1681,0.7417,0.0063,-0.6880,0.183,0.549,0.122,179.912,-47.263,147.003
1691,0.7412,0.0034,-0.6895,0.122,0.244,0.000,179.912,-47.263,147.003
1701,0.7422,0.0024,-0.6875,0.000,0.061,-0.061,179.912,-47.263,147.003
1711,0.7441,0.0039,-0.6890,-0.122,-0.183,-0.183,179.907,-47.258,147.003
1721,0.7427,0.0024,-0.6875,-0.183,-0.305,-0.244,179.901,-47.258,147.003
1731,0.7441,0.0015,-0.6851,-0.183,-0.427,-0.305,179.896,-47.252,147.003
1741,0.7417,0.0000,-0.6826,-0.061,-0.366,-0.305,179.890,-47.252,147.003
1751,0.7417,0.0020,-0.6846,0.061,-0.244,-0.244,179.890,-47.252,147.003
1762,0.7427,0.0020,-0.6812,0.183,-0.122,-0.183,179.885,-47.252,147.003
1771,0.7422,0.0015,-0.6831,0.305,0.122,-0.122,179.890,-47.252,147.003
1781,0.7417,0.0020,-0.6860,0.366,0.305,-0.122,179.890,-47.258,147.003
1791,0.7427,0.0010,-0.6821,0.305,0.427,-0.061,179.896,-47.263,147.003
1801,0.7422,-0.0005,-0.6870,0.244,0.427,0.000,-179.956,-47.269,147.003
1811,0.7432,0.0010,-0.6860,0.122,0.366,0.000,179.918,-47.269,147.003
1821,0.7422,0.0015,-0.6875,0.061,0.305,0.000,179.918,-47.274,147.003
1831,0.7422,0.0010,-0.6885,0.061,0.183,0.000,179.918,-47.274,147.003
1841,0.7432,0.0039,-0.6870,0.061,0.061,0.000,179.912,-47.274,147.003
1851,0.7412,0.0034,-0.6865,0.000,-0.061,0.000,179.912,-47.274,147.003
1861,0.7427,0.0024,-0.6860,-0.061,-0.061,0.000,179.912,-47.274,147.003
1871,0.7432,0.0010,-0.6860,-0.122,-0.122,-0.061,179.907,-47.269,147.003
1881,0.7441,0.0020,-0.6870,-0.122,-0.061,-0.061,179.907,-47.269,147.003
1891,0.7407,0.0039,-0.6831,0.000,-0.061,-0.061,179.901,-47.269,147.003
1901,0.7422,0.0024,-0.6831,0.061,0.122,-0.061,179.901,-47.274,147.003
1911,0.7427,0.0020,-0.6851,0.122,0.122,-0.061,179.901,-47.274,147.003
1921,0.7427,0.0010,-0.6851,0.183,0.183,-0.061,179.901,-47.274,147.003
1931,0.7437,-0.0010,-0.6870,0.122,0.183,-0.061,-179.918,-47.280,147.003
1941,0.7451,-0.0005,-0.6865,0.122,0.061,-0.061,-179.918,-47.280,147.003
1951,0.7437,0.0020,-0.6880,0.061,0.061,-0.061,179.835,-47.280,147.003
1961,0.7407,0.0034,-0.6865,-0.061,0.000,0.000,179.835,-47.280,147.003
1971,0.7407,0.0010,-0.6851,-0.122,-0.061,0.061,179.835,-47.280,147.003
1981,0.7407,0.0000,-0.6865,-0.061,-0.061,0.061,179.835,-47.280,147.003
1991,0.7407,0.0015,-0.6865,0.000,-0.061,0.122,179.835,-47.274,147.003
2001,0.7422,0.0015,-0.6831,0.061,0.061,0.183,179.841,-47.280,147.003
2011,0.7417,0.0020,-0.6865,0.122,0.061,0.183,179.841,-47.280,147.003
2021,0.7402,0.0010,-0.6895,0.122,0.122,0.183,179.846,-47.274,147.003
2031,0.7427,0.0010,-0.6855,0.061,0.122,0.183,179.852,-47.280,147.003
2041,0.7427,0.0005,-0.6870,0.061,0.061,0.061,179.852,-47.280,147.003
2051,0.7432,0.0029,-0.6855,-0.061,0.061,0.000,179.852,-47.280,147.003
2061,0.7412,0.0049,-0.6865,-0.122,-0.061,-0.061,179.846,-47.280,147.003
2071,0.7417,0.0049,-0.6851,0.000,-0.122,-0.122,179.841,-47.280,147.003
2081,0.7417,0.0049,-0.6875,0.183,0.000,-0.183,179.841,-47.274,147.003
2091,0.7422,0.0059,-0.6855,0.183,0.061,-0.183,179.835,-47.274,147.003
2101,0.7427,0.0049,-0.6855,0.183,0.061,-0.244,179.835,-47.280,147.003
2111,0.7437,0.0024,-0.6831,0.061,0.061,-0.183,179.830,-47.280,147.003
2121,0.7446,0.0020,-0.6860,0.000,0.122,-0.183,179.830,-47.280,147.003
2131,0.7461,0.0015,-0.6860,0.000,0.061,-0.122,179.830,-47.285,147.003
2141,0.7466,-0.0010,-0.6865,0.000,-0.061,-0.061,-179.918,-47.285,147.003
2151,0.7427,-0.0015,-0.6851,-0.061,-0.183,0.061,-179.918,-47.285,147.003
2161,0.7412,-0.0015,-0.6870,-0.183,-0.122,0.183,-179.912,-47.280,147.003
2171,0.7407,0.0024,-0.6846,-0.183,-0.061,0.244,179.791,-47.280,147.003
2181,0.7393,0.0024,-0.6855,-0.122,0.061,0.366,179.797,-47.280,147.003
2191,0.7402,0.0039,-0.6885,0.000,0.183,0.305,179.797,-47.280,147.003
2201,0.7412,0.0044,-0.6870,0.000,0.244,0.244,179.797,-47.280,147.003
2211,0.7422,0.0049,-0.6890,-0.061,0.244,0.122,179.797,-47.280,147.003
2221,0.7417,0.0073,-0.6880,-0.122,0.061,-0.061,179.791,-47.280,147.003
2231,0.7378,0.0078,-0.6875,-0.122,-0.244,-0.366,179.780,-47.274,147.003
2241,0.7412,0.0078,-0.6875,-0.061,-0.305,-0.488,179.769,-47.274,147.003
2251,0.7397,0.0049,-0.6846,0.000,-0.366,-0.610,179.764,-47.269,147.003
2262,0.7393,0.0039,-0.6826,-0.061,-0.305,-0.610,179.753,-47.263,147.003
2271,0.7417,0.0039,-0.6851,-0.061,-0.244,-0.610,179.747,-47.263,147.003
2281,0.7412,0.0000,-0.6836,0.000,-0.061,-0.549,179.742,-47.263,147.003
2291,0.7412,0.0024,-0.6816,0.122,0.061,-0.427,179.742,-47.263,147.003
2301,0.7427,0.0029,-0.6846,0.305,0.183,-0.305,179.742,-47.269,147.003
2311,0.7432,0.0034,-0.6816,0.488,0.305,-0.244,179.742,-47.274,147.003
2321,0.7422,0.0015,-0.6855,0.549,0.305,-0.183,179.747,-47.274,147.003
2331,0.7417,0.0020,-0.6851,0.549,0.427,-0.183,179.753,-47.280,147.003
2341,0.7441,0.0029,-0.6860,0.427,0.488,-0.183,179.753,-47.285,147.003
2353,0.7427,0.0049,-0.6885,0.244,0.549,-0.244,179.753,-47.291,147.003
2361,0.7427,0.0029,-0.6880,0.122,0.427,-0.244,179.753,-47.296,147.003
2371,0.7441,0.0024,-0.6860,-0.122,0.305,-0.366,179.747,-47.296,147.003
2381,0.7422,0.0010,-0.6870,-0.183,0.244,-0.305,179.742,-47.296,147.003
2391,0.7441,0.0000,-0.6865,-0.061,0.000,-0.244,179.742,-47.302,147.003
2401,0.7437,0.0005,-0.6875,0.061,-0.183,-0.244,179.742,-47.296,147.003
2411,0.7432,0.0005,-0.6890,0.183,-0.244,-0.183,179.742,-47.291,147.003
2421,0.7407,-0.0005,-0.6870,0.122,-0.183,-0.122,-179.956,-47.291,147.003
2431,0.7422,0.0000,-0.6851,0.061,-0.061,-0.061,-180.000,-47.291,147.003
2441,0.7437,0.0020,-0.6865,0.061,0.000,0.061,179.995,-47.291,147.003
2451,0.7437,0.0029,-0.6855,0.305,0.183,0.122,-180.000,-47.291,147.003
2461,0.7441,0.0049,-0.6851,0.427,0.305,0.122,-180.000,-47.296,147.003
2471,0.7441,0.0029,-0.6855,0.427,0.183,0.122,-179.995,-47.296,147.003
2481,0.7451,0.0034,-0.6860,0.305,0.061,0.122,-179.995,-47.302,147.003
2491,0.7446,0.0049,-0.6875,0.061,-0.122,0.061,-180.000,-47.296,147.003
2501,0.7422,0.0059,-0.6870,-0.122,-0.183,-0.061,179.995,-47.296,147.003
2511,0.7432,0.0054,-0.6865,-0.183,-0.122,-0.122,179.989,-47.296,147.003
2521,0.7427,0.0034,-0.6855,-0.183,0.000,-0.183,179.984,-47.296,147.003
2531,0.7417,0.0020,-0.6831,-0.183,0.061,-0.244,179.973,-47.296,147.003
2541,0.7412,0.0059,-0.6836,-0.183,0.122,-0.244,179.967,-47.296,147.003
2551,0.7422,0.0034,-0.6851,-0.061,0.183,-0.183,179.962,-47.296,147.003
2561,0.7422,0.0024,-0.6836,0.000,0.183,-0.122,179.956,-47.302,147.003
2571,0.7412,0.0034,-0.6870,0.122,0.305,-0.122,179.956,-47.302,147.003
2581,0.7422,0.0029,-0.6885,0.122,0.366,-0.183,179.951,-47.307,147.003
