elapsed_ms,acc_x_g,acc_y_g,acc_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,angle_x_deg,angle_y_deg,angle_z_deg
0,-0.3560,-0.0654,-0.9277,0.732,-0.244,-0.671,-176.314,20.511,-103.458
10,-0.3511,-0.0679,-0.9312,0.061,0.488,-0.671,-176.309,20.511,-103.453
20,-0.3491,-0.0688,-0.9316,-0.671,0.671,-0.488,-176.303,20.500,-103.447
30,-0.3486,-0.0679,-0.9365,-1.282,0.671,-0.305,-176.314,20.495,-103.447
40,-0.3506,-0.0669,-0.9409,-1.770,0.732,-0.122,-176.325,20.484,-103.442
50,-0.3491,-0.0654,-0.9458,-1.892,0.977,0.122,-176.342,20.473,-103.447
60,-0.3516,-0.0635,-0.9526,-1.770,1.343,0.244,-176.358,20.457,-103.447
70,-0.3525,-0.0625,-0.9561,-1.343,1.648,0.305,-176.375,20.440,-103.453
80,-0.3506,-0.0610,-0.9580,-0.732,1.526,0.305,-176.380,20.418,-103.458
90,-0.3511,-0.0601,-0.9570,-0.305,0.732,0.305,-176.385,20.413,-103.464
100,-0.3506,-0.0605,-0.9565,0.183,-0.305,0.305,-176.385,20.413,-103.464
110,-0.3516,-0.0596,-0.9541,0.427,-1.038,0.366,-176.385,20.418,-103.469
120,-0.3506,-0.0620,-0.9517,0.549,-1.343,0.305,-176.380,20.429,-103.469
130,-0.3506,-0.0610,-0.9463,0.732,-1.282,0.244,-176.369,20.440,-103.469
140,-0.3525,-0.0615,-0.9424,0.793,-1.038,0.244,-176.364,20.451,-103.475
150,-0.3516,-0.0620,-0.9409,0.671,-0.854,0.244,-176.353,20.462,-103.475
160,-0.3530,-0.0620,-0.9370,0.488,-0.732,0.244,-176.347,20.468,-103.480
170,-0.3521,-0.0605,-0.9370,0.244,-0.793,0.244,-176.347,20.479,-103.480
180,-0.3550,-0.0605,-0.9326,0.183,-0.671,0.244,-176.347,20.490,-103.480
190,-0.3569,-0.0605,-0.9370,0.000,-0.427,0.183,-176.347,20.495,-103.486
200,-0.3564,-0.0591,-0.9321,-0.122,-0.061,0.122,-176.347,20.500,-103.486
210,-0.3584,-0.0596,-0.9326,-0.488,0.366,0.061,-176.353,20.500,-103.486
220,-0.3569,-0.0581,-0.9351,-0.854,0.793,0.000,-176.364,20.495,-103.486
230,-0.3521,-0.0562,-0.9360,-1.160,1.038,-0.061,-176.375,20.490,-103.486
240,-0.3525,-0.0537,-0.9375,-1.343,0.977,-0.183,-176.391,20.479,-103.486
250,-0.3521,-0.0532,-0.9390,-1.160,0.916,-0.244,-176.407,20.473,-103.486
260,-0.3525,-0.0557,-0.9424,-0.916,0.977,-0.305,-176.418,20.462,-103.480
270,-0.3516,-0.0581,-0.9468,-0.854,1.343,-0.427,-176.424,20.446,-103.475
280,-0.3530,-0.0586,-0.9492,-0.977,1.709,-0.427,-176.435,20.429,-103.475
290,-0.3506,-0.0601,-0.9512,-1.160,1.892,-0.427,-176.440,20.407,-103.469
300,-0.3511,-0.0625,-0.9526,-1.404,1.465,-0.366,-176.451,20.391,-103.469
310,-0.3501,-0.0625,-0.9561,-1.587,0.732,-0.244,-176.468,20.380,-103.464
320,-0.3462,-0.0576,-0.9580,-1.587,0.000,-0.183,-176.484,20.374,-103.464
330,-0.3457,-0.0571,-0.9604,-0.977,-0.610,-0.061,-176.495,20.374,-103.464
340,-0.3462,-0.0566,-0.9590,-0.122,-0.854,0.000,-176.495,20.374,-103.464
350,-0.3511,-0.0552,-0.9590,0.854,-0.732,-0.061,-176.490,20.380,-103.464
360,-0.3521,-0.0581,-0.9565,1.709,-0.732,-0.061,-176.473,20.385,-103.464
370,-0.3516,-0.0576,-0.9561,2.075,-1.038,0.000,-176.451,20.396,-103.464
380,-0.3501,-0.0581,-0.9517,2.075,-1.648,0.000,-176.429,20.407,-103.464
390,-0.3521,-0.0581,-0.9492,1.831,-2.319,-0.122,-176.413,20.429,-103.464
