elapsed_ms,acc_x_g,acc_y_g,acc_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,angle_x_deg,angle_y_deg,angle_z_deg
0,0.6924,0.6733,-0.3530,20.813,5.676,-4.944,116.180,-41.627,-65.748
10,0.6904,0.6758,-0.3496,23.437,1.831,-4.639,116.389,-41.600,-65.698
20,0.6841,0.6753,-0.3481,28.198,-2.136,-3.967,116.680,-41.561,-65.698
30,0.6768,0.6699,-0.3496,34.424,-5.371,-3.113,117.059,-41.512,-65.748
40,0.6709,0.6646,-0.3501,41.626,-7.751,-2.258,117.526,-41.457,-65.825
50,0.6650,0.6592,-0.3496,49.866,-9.583,-1.282,118.098,-41.407,-65.929
60,0.6636,0.6567,-0.3501,60.364,-12.024,0.000,118.784,-41.353,-66.072
70,0.6626,0.6538,-0.3496,73.303,-14.832,1.648,119.625,-41.303,-66.253
80,0.6611,0.6514,-0.3501,88.440,-18.005,3.845,120.641,-41.254,-66.489
90,0.6602,0.6445,-0.3530,105.164,-21.362,6.531,121.849,-41.204,-66.775
100,0.6582,0.6343,-0.3584,123.413,-24.841,9.583,123.272,-41.166,-67.126
110,0.6523,0.6191,-0.3667,142.761,-27.832,12.756,124.926,-41.133,-67.527
120,0.6421,0.5977,-0.3823,162.476,-29.480,15.808,126.793,-41.105,-67.967
130,0.6309,0.5635,-0.4014,180.664,-29.297,18.372,128.870,-41.089,-68.423
140,0.6162,0.5205,-0.4180,196.655,-26.855,20.325,131.105,-41.094,-68.873
150,0.6084,0.4751,-0.4429,208.435,-22.705,21.790,133.456,-41.127,-69.291
160,0.6074,0.4341,-0.4663,214.600,-16.663,23.437,135.862,-41.210,-69.664
170,0.6074,0.3955,-0.4990,214.661,-9.888,25.513,138.263,-41.342,-69.999
180,0.6118,0.3633,-0.5308,209.045,-1.282,27.832,140.598,-41.534,-70.285
190,0.6255,0.3340,-0.5645,197.754,8.850,30.029,142.795,-41.814,-70.521
200,0.6436,0.3218,-0.6006,181.152,19.714,31.799,144.800,-42.177,-70.703
210,0.6641,0.3135,-0.6353,160.828,28.442,32.410,146.569,-42.599,-70.840
220,0.6880,0.3145,-0.6660,138.733,36.316,31.982,148.085,-43.077,-70.928
230,0.7065,0.3208,-0.6899,116.211,43.091,30.457,149.332,-43.599,-70.972
240,0.7256,0.3276,-0.6997,91.797,49.011,27.954,150.287,-44.154,-70.955
250,0.7417,0.3389,-0.7109,67.322,53.284,24.597,150.952,-44.725,-70.889
260,0.7573,0.3545,-0.7139,44.617,55.603,20.508,151.331,-45.291,-70.757
270,0.7710,0.3730,-0.7109,24.658,56.030,15.808,151.452,-45.840,-70.576
280,0.7856,0.3926,-0.7036,8.911,54.138,10.620,151.364,-46.346,-70.340
290,0.7949,0.4092,-0.6934,-2.869,50.232,5.188,151.117,-46.791,-70.054
300,0.7979,0.4209,-0.6807,-11.047,44.373,0.061,150.754,-47.153,-69.741
310,0.7998,0.4312,-0.6675,-16.113,37.048,-4.517,150.320,-47.433,-69.417
320,0.7959,0.4321,-0.6548,-18.127,28.687,-8.423,149.875,-47.620,-69.099
330,0.7915,0.4282,-0.6431,-18.005,20.020,-11.414,149.442,-47.714,-68.802
340,0.7803,0.4199,-0.6313,-16.602,11.292,-13.489,149.057,-47.725,-68.549
350,0.7700,0.4058,-0.6206,-14.099,3.235,-14.709,148.744,-47.659,-68.335
360,0.7612,0.3906,-0.6143,-11.353,-3.723,-15.259,148.497,-47.538,-68.170
370,0.7544,0.3765,-0.6060,-8.667,-9.277,-15.259,148.321,-47.368,-68.049
380,0.7471,0.3657,-0.5977,-6.409,-13.306,-14.709,148.200,-47.175,-67.967
390,0.7397,0.3560,-0.5918,-4.944,-15.747,-13.733,148.123,-46.972,-67.917
400,0.7344,0.3486,-0.5869,-4.028,-16.724,-12.329,148.074,-46.769,-67.896
410,0.7275,0.3408,-0.5835,-3.601,-16.602,-10.742,148.052,-46.577,-67.890
420,0.7222,0.3379,-0.5791,-3.540,-15.564,-9.094,148.041,-46.401,-67.896
431,0.7173,0.3330,-0.5776,-3.845,-13.611,-7.385,148.030,-46.252,-67.906
440,0.7168,0.3335,-0.5728,-3.174,-11.047,-5.737,148.030,-46.143,-67.923
450,0.7148,0.3345,-0.5679,-3.296,-8.301,-4.089,148.019,-46.066,-67.939
460,0.7158,0.3369,-0.5698,-5.371,-5.249,-2.319,147.986,-46.016,-67.950
470,0.7178,0.3418,-0.5659,-4.211,-2.686,-0.793,147.964,-46.005,-67.961
480,0.7202,0.3506,-0.5649,-1.282,-0.977,0.549,147.964,-46.011,-67.972
490,0.7231,0.3584,-0.5625,1.831,-0.122,1.831,147.991,-46.033,-67.994
500,0.7236,0.3638,-0.5654,4.700,0.183,2.991,148.057,-46.066,-68.033
510,0.7285,0.3682,-0.5718,7.629,0.549,4.089,148.156,-46.099,-68.077
520,0.7334,0.3721,-0.5776,10.864,0.671,5.066,148.293,-46.137,-68.137
530,0.7358,0.3745,-0.5801,13.977,0.610,5.920,148.469,-46.181,-68.203
540,0.7324,0.3745,-0.5845,16.541,0.366,6.592,148.678,-46.219,-68.280
550,0.7324,0.3721,-0.5894,18.066,0.549,7.019,148.909,-46.263,-68.362
560,0.7334,0.3730,-0.5942,18.005,1.282,7.263,149.134,-46.313,-68.445
570,0.7358,0.3711,-0.5942,17.029,2.136,7.446,149.348,-46.368,-68.522
580,0.7368,0.3647,-0.5967,15.747,2.747,7.324,149.546,-46.434,-68.593
590,0.7354,0.3633,-0.6001,14.099,3.113,6.897,149.722,-46.494,-68.654
600,0.7344,0.3643,-0.6030,12.024,3.418,6.226,149.870,-46.549,-68.708
610,0.7344,0.3628,-0.6025,9.888,3.662,5.432,149.991,-46.604,-68.752
620,0.7329,0.3608,-0.5996,7.690,3.845,4.333,150.073,-46.659,-68.774
630,0.7310,0.3579,-0.6025,5.432,3.784,3.052,150.128,-46.697,-68.785
640,0.7310,0.3584,-0.6001,3.357,3.540,1.831,150.150,-46.736,-68.785
650,0.7354,0.3555,-0.6011,1.587,3.235,0.671,150.145,-46.763,-68.769
660,0.7334,0.3574,-0.5991,0.122,2.930,-0.244,150.123,-46.785,-68.747
670,0.7349,0.3584,-0.5986,-0.977,2.808,-0.793,150.079,-46.802,-68.714
680,0.7324,0.3579,-0.5986,-1.526,2.747,-1.099,150.029,-46.818,-68.681
690,0.7314,0.3506,-0.5952,-1.953,2.625,-1.343,149.980,-46.829,-68.643
700,0.7275,0.3477,-0.5908,-2.502,2.502,-1.709,149.919,-46.840,-68.604
710,0.7266,0.3452,-0.5913,-3.296,2.380,-1.892,149.859,-46.851,-68.566
720,0.7305,0.3467,-0.5928,-4.150,2.136,-1.953,149.782,-46.857,-68.522
730,0.7329,0.3481,-0.5898,-4.639,1.953,-1.648,149.711,-46.868,-68.489
740,0.7334,0.3496,-0.5884,-4.517,1.892,-1.038,149.639,-46.879,-68.461
750,0.7339,0.3506,-0.5879,-3.967,2.014,-0.427,149.584,-46.895,-68.439
760,0.7358,0.3525,-0.5879,-2.991,2.319,0.183,149.535,-46.917,-68.428
770,0.7402,0.3545,-0.5908,-1.587,2.686,0.793,149.507,-46.950,-68.417
780,0.7427,0.3560,-0.5874,-0.122,2.869,1.343,149.496,-46.983,-68.412
790,0.7446,0.3564,-0.5903,1.160,2.930,1.587,149.502,-47.016,-68.412
800,0.7432,0.3545,-0.5918,2.136,2.808,1.648,149.518,-47.049,-68.412
810,0.7456,0.3530,-0.5947,2.563,2.747,1.404,149.540,-47.082,-68.406
820,0.7476,0.3525,-0.5937,2.502,2.625,1.160,149.557,-47.115,-68.401
830,0.7485,0.3525,-0.5957,2.319,2.380,0.977,149.573,-47.137,-68.395
840,0.7495,0.3530,-0.5918,1.953,2.136,0.854,149.590,-47.164,-68.390
850,0.7500,0.3550,-0.5918,1.587,1.831,0.671,149.595,-47.186,-68.384
860,0.7500,0.3540,-0.5928,1.160,1.465,0.427,149.595,-47.203,-68.379
870,0.7490,0.3540,-0.5923,0.916,1.160,0.183,149.595,-47.214,-68.373
880,0.7520,0.3540,-0.5928,0.793,0.916,0.000,149.595,-47.225,-68.368
890,0.7505,0.3540,-0.5937,0.854,0.854,-0.122,149.595,-47.230,-68.362
900,0.7505,0.3521,-0.5923,0.916,0.977,-0.061,149.595,-47.241,-68.351
910,0.7485,0.3521,-0.5933,1.038,1.099,-0.061,149.595,-47.252,-68.340
920,0.7480,0.3525,-0.5933,1.099,1.099,-0.122,149.595,-47.263,-68.335
931,0.7466,0.3521,-0.5913,1.099,0.977,-0.183,149.595,-47.269,-68.324
940,0.7466,0.3516,-0.5908,0.977,0.610,-0.122,149.595,-47.274,-68.318
950,0.7480,0.3511,-0.5913,0.916,0.061,-0.122,149.601,-47.280,-68.313
960,0.7441,0.3506,-0.5879,0.854,-0.488,-0.122,149.606,-47.274,-68.318
970,0.7432,0.3491,-0.5879,0.732,-0.977,-0.122,149.617,-47.269,-68.324
980,0.7427,0.3506,-0.5859,0.549,-1.099,-0.122,149.623,-47.258,-68.329
990,0.7388,0.3481,-0.5845,0.427,-0.916,-0.061,149.628,-47.252,-68.335
1000,0.7373,0.3442,-0.5854,0.244,-0.610,-0.061,149.628,-47.247,-68.340
1010,0.7354,0.3433,-0.5850,-0.061,-0.244,-0.122,149.628,-47.247,-68.340
1020,0.7378,0.3442,-0.5840,-0.549,0.122,-0.061,149.623,-47.247,-68.340
1030,0.7432,0.3481,-0.5845,-0.854,0.427,0.000,149.606,-47.252,-68.335
1040,0.7412,0.3491,-0.5825,-0.916,0.610,0.244,149.590,-47.263,-68.335
1050,0.7417,0.3511,-0.5825,-0.732,0.854,0.427,149.579,-47.274,-68.335
1060,0.7451,0.3516,-0.5859,-0.305,1.221,0.671,149.568,-47.291,-68.335
1070,0.7456,0.3530,-0.5874,0.244,1.404,0.854,149.562,-47.307,-68.335
1080,0.7441,0.3506,-0.5859,0.793,1.404,0.977,149.568,-47.329,-68.335
1090,0.7407,0.3467,-0.5854,1.099,1.282,0.916,149.579,-47.346,-68.335
1100,0.7417,0.3457,-0.5850,0.732,1.038,0.610,149.584,-47.357,-68.335
1110,0.7407,0.3437,-0.5820,-0.061,0.671,0.305,149.584,-47.368,-68.335
1120,0.7412,0.3457,-0.5830,-0.977,0.305,0.061,149.568,-47.373,-68.335
1130,0.7417,0.3506,-0.5835,-1.770,0.244,0.000,149.546,-47.379,-68.335
1140,0.7451,0.3535,-0.5815,-2.075,0.427,0.183,149.513,-47.384,-68.329
1150,0.7490,0.3569,-0.5830,-1.709,0.854,0.488,149.485,-47.395,-68.329
1160,0.7505,0.3574,-0.5845,-0.793,1.343,0.793,149.469,-47.411,-68.329
1170,0.7495,0.3579,-0.5850,0.366,1.770,1.099,149.464,-47.433,-68.329
1180,0.7510,0.3564,-0.5879,1.465,2.075,1.160,149.474,-47.461,-68.329
1190,0.7510,0.3550,-0.5903,2.075,2.136,1.038,149.485,-47.483,-68.329
1200,0.7520,0.3550,-0.5913,2.197,2.014,0.793,149.496,-47.505,-68.324
1210,0.7520,0.3545,-0.5908,1.892,1.892,0.610,149.507,-47.521,-68.318
1220,0.7505,0.3545,-0.5884,1.465,1.587,0.244,149.513,-47.538,-68.307
1230,0.7524,0.3545,-0.5889,0.732,1.221,-0.061,149.507,-47.549,-68.297
1240,0.7539,0.3506,-0.5889,0.000,0.916,-0.427,149.491,-47.554,-68.286
1250,0.7539,0.3506,-0.5840,-0.549,0.488,-0.732,149.474,-47.560,-68.275
1260,0.7524,0.3496,-0.5845,-0.854,0.061,-0.854,149.453,-47.560,-68.264
1270,0.7515,0.3477,-0.5840,-0.977,-0.366,-0.916,149.436,-47.554,-68.253
1280,0.7524,0.3467,-0.5825,-0.916,-0.610,-0.977,149.420,-47.549,-68.247
1290,0.7495,0.3452,-0.5820,-0.732,-0.671,-0.916,149.403,-47.543,-68.236
1300,0.7485,0.3477,-0.5835,-0.366,-0.427,-0.732,149.398,-47.538,-68.231
1310,0.7476,0.3452,-0.5835,0.122,-0.061,-0.427,149.392,-47.538,-68.225
1320,0.7500,0.3477,-0.5864,0.732,0.427,-0.061,149.398,-47.543,-68.225
1330,0.7471,0.3452,-0.5864,1.282,0.916,0.183,149.409,-47.554,-68.220
1340,0.7456,0.3447,-0.5859,1.587,1.160,0.366,149.420,-47.565,-68.214
1350,0.7446,0.3452,-0.5869,1.648,1.160,0.427,149.436,-47.576,-68.209
1360,0.7451,0.3447,-0.5859,1.404,0.977,0.427,149.447,-47.587,-68.209
1370,0.7446,0.3472,-0.5850,1.160,0.549,0.366,149.458,-47.598,-68.209
1380,0.7456,0.3511,-0.5830,0.916,0.122,0.366,149.464,-47.598,-68.214
1390,0.7451,0.3550,-0.5840,0.793,-0.122,0.366,149.469,-47.598,-68.220
1400,0.7476,0.3545,-0.5835,0.977,-0.244,0.366,149.480,-47.598,-68.225
1410,0.7471,0.3545,-0.5825,1.282,-0.305,0.366,149.485,-47.598,-68.231
1420,0.7490,0.3545,-0.5825,1.709,-0.305,0.305,149.502,-47.598,-68.236
1431,0.7480,0.3540,-0.5840,2.014,-0.305,0.244,149.518,-47.598,-68.242
1440,0.7485,0.3535,-0.5835,2.319,-0.366,0.061,149.535,-47.593,-68.247
1450,0.7495,0.3550,-0.5815,2.563,-0.427,0.000,149.551,-47.593,-68.253
1460,0.7515,0.3550,-0.5845,2.869,-0.488,-0.122,149.573,-47.587,-68.253
1470,0.7500,0.3540,-0.5850,3.113,-0.305,-0.183,149.601,-47.587,-68.253
1480,0.7490,0.3491,-0.5825,3.357,-0.061,-0.427,149.623,-47.587,-68.247
1490,0.7471,0.3481,-0.5806,3.174,0.122,-0.732,149.639,-47.587,-68.236
1500,0.7451,0.3442,-0.5820,2.747,0.305,-1.160,149.656,-47.587,-68.220
1510,0.7437,0.3403,-0.5815,2.136,0.549,-1.526,149.656,-47.582,-68.198
1520,0.7427,0.3398,-0.5820,1.404,0.854,-1.587,149.650,-47.587,-68.170
1530,0.7451,0.3389,-0.5820,0.854,1.221,-1.526,149.639,-47.593,-68.143
