elapsed_ms,acc_x_g,acc_y_g,acc_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,angle_x_deg,angle_y_deg,angle_z_deg
0,-0.4575,0.6914,-0.5894,0.977,-0.610,0.793,129.908,26.219,-70.708
10,-0.4551,0.6992,-0.5908,0.122,-0.549,0.916,129.908,26.219,-70.719
20,-0.4556,0.7026,-0.5933,-0.122,-0.366,1.099,129.908,26.213,-70.730
30,-0.4473,0.7051,-0.5908,-0.366,-0.305,1.099,129.897,26.202,-70.741
40,-0.4438,0.7080,-0.5894,-0.610,-0.549,0.854,129.886,26.197,-70.752
50,-0.4458,0.7075,-0.5864,-0.549,-1.160,0.427,129.869,26.197,-70.763
60,-0.4531,0.7041,-0.5874,-0.305,-1.831,0.183,129.864,26.208,-70.779
70,-0.4585,0.7017,-0.5825,-0.305,-2.014,0.061,129.847,26.224,-70.796
80,-0.4556,0.7056,-0.5815,-0.671,-1.892,0.183,129.831,26.241,-70.818
90,-0.4565,0.7026,-0.5815,-0.854,-1.343,0.244,129.814,26.246,-70.829
100,-0.4556,0.7061,-0.5776,-0.916,-0.732,0.244,129.798,26.252,-70.834
110,-0.4526,0.7065,-0.5747,-0.732,-0.366,0.183,129.781,26.257,-70.840
120,-0.4517,0.7026,-0.5757,-0.244,-0.244,0.000,129.771,26.263,-70.845
130,-0.4541,0.6953,-0.5771,0.061,-0.244,0.000,129.771,26.268,-70.845
140,-0.4575,0.6934,-0.5820,0.000,-0.122,0.061,129.776,26.274,-70.845
150,-0.4590,0.6978,-0.5820,-0.244,0.183,0.305,129.771,26.274,-70.845
160,-0.4575,0.7017,-0.5835,-0.305,0.549,0.549,129.771,26.268,-70.845
170,-0.4546,0.7031,-0.5801,-0.305,0.671,0.671,129.765,26.263,-70.845
180,-0.4526,0.7036,-0.5781,-0.122,0.366,0.671,129.760,26.257,-70.845
190,-0.4517,0.7041,-0.5786,0.122,-0.122,0.610,129.754,26.252,-70.851
200,-0.4624,0.7031,-0.5889,0.610,-0.122,0.671,129.760,26.257,-70.856
210,-0.4502,0.7021,-0.5728,0.793,0.671,0.854,129.760,26.246,-70.856
220,-0.4189,0.7080,-0.5840,0.366,0.000,0.916,129.760,26.224,-70.867
230,-0.4785,0.6880,-0.5947,2.319,1.404,0.305,129.798,26.224,-70.856
240,-0.4624,0.7046,-0.6006,0.183,2.197,0.427,129.814,26.213,-70.840
250,-0.4536,0.7100,-0.5845,-0.061,2.930,0.549,129.820,26.191,-70.818
260,-0.4438,0.7080,-0.5942,-0.183,2.258,0.793,129.825,26.164,-70.807
