elapsed_ms,acc_x_g,acc_y_g,acc_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,angle_x_deg,angle_y_deg,angle_z_deg
0,0.0557,0.9556,-0.3789,1.343,2.319,2.136,111.841,-3.604,82.304
10,0.0566,0.9604,-0.3750,2.075,1.709,2.258,111.857,-3.625,82.310
20,0.0576,0.9614,-0.3721,3.174,0.977,2.075,111.885,-3.647,82.310
30,0.0635,0.9585,-0.3672,3.967,0.366,1.648,111.912,-3.658,82.310
40,0.0610,0.9541,-0.3618,4.089,-0.488,1.343,111.940,-3.669,82.299
50,0.0576,0.9575,-0.3550,3.906,-0.977,1.282,111.967,-3.675,82.288
60,0.0537,0.9604,-0.3472,3.906,-0.916,1.465,111.984,-3.675,82.271
70,0.0562,0.9624,-0.3403,4.272,-0.183,1.465,112.000,-3.686,82.266
80,0.0635,0.9644,-0.3384,4.700,0.610,1.160,112.022,-3.697,82.266
90,0.0708,0.9683,-0.3403,4.700,0.916,0.916,112.039,-3.708,82.271
100,0.0762,0.9702,-0.3423,3.662,0.854,0.610,112.050,-3.724,82.277
110,0.0767,0.9668,-0.3408,2.136,0.793,0.061,112.044,-3.735,82.282
120,0.0693,0.9600,-0.3369,0.488,0.793,-1.038,112.022,-3.730,82.293
130,0.0649,0.9507,-0.3350,-1.221,0.977,-2.380,111.984,-3.708,82.315
140,0.0625,0.9404,-0.3354,-2.747,1.099,-3.418,111.929,-3.680,82.337
150,0.0601,0.9302,-0.3354,-3.967,1.404,-3.906,111.868,-3.647,82.365
160,0.0562,0.9209,-0.3369,-4.211,2.014,-3.723,111.808,-3.620,82.397
170,0.0576,0.9097,-0.3345,-3.418,2.930,-3.418,111.753,-3.593,82.436
180,0.0562,0.8984,-0.3330,-1.587,3.540,-2.991,111.720,-3.576,82.480
190,0.0508,0.8896,-0.3354,0.061,3.662,-2.197,111.709,-3.565,82.524
200,0.0464,0.8848,-0.3330,0.977,3.479,-1.099,111.703,-3.560,82.557
210,0.0479,0.8853,-0.3276,1.648,3.418,0.244,111.703,-3.571,82.590
220,0.0513,0.8906,-0.3262,2.197,3.540,1.465,111.709,-3.593,82.617
230,0.0518,0.8955,-0.3257,2.625,4.395,2.319,111.714,-3.625,82.650
240,0.0508,0.9038,-0.3267,3.113,5.432,2.991,111.725,-3.664,82.689
250,0.0537,0.9131,-0.3262,3.235,6.714,3.784,111.736,-3.719,82.738
260,0.0488,0.9102,-0.3267,4.028,7.996,4.517,111.753,-3.779,82.793
270,0.0439,0.9058,-0.3369,4.822,10.193,4.700,111.780,-3.851,82.870
280,0.0415,0.8960,-0.3604,5.493,14.648,4.333,111.830,-3.928,82.991
290,0.0396,0.8486,-0.4048,5.432,22.034,3.296,111.907,-4.026,83.183
300,0.0264,0.7979,-0.4380,1.831,31.921,0.366,111.973,-4.125,83.480
310,0.0044,0.6895,-0.4878,-5.066,43.762,-2.441,112.028,-4.224,83.897
320,-0.0356,0.4727,-0.5342,-23.621,53.345,2.930,112.022,-4.378,84.380
330,-0.0244,0.4829,-0.4609,-64.575,52.734,16.602,111.566,-4.664,84.809
340,0.0566,0.8315,-0.2500,-103.760,36.804,34.119,110.473,-5.103,85.029
350,0.1909,1.1289,-0.1416,-88.684,8.484,49.805,109.468,-5.636,84.930
360,0.2798,1.3247,-0.1494,-15.808,-22.339,56.274,109.221,-6.152,84.534
370,0.2983,1.2607,-0.2827,66.162,-41.504,51.575,109.869,-6.564,83.969
380,0.2988,1.0835,-0.4619,106.812,-45.288,37.720,111.022,-6.839,83.408
390,0.3037,0.9668,-0.5771,80.444,-40.771,23.071,111.973,-6.993,82.941
400,0.2690,0.9722,-0.5469,4.211,-34.790,10.376,112.132,-7.026,82.579
410,0.2295,1.0718,-0.4053,-76.904,-19.714,0.183,111.379,-6.998,82.392
420,0.1631,1.2271,-0.2383,-124.634,-0.732,-11.780,110.039,-6.888,82.430
430,0.0977,1.2700,-0.1709,-117.737,13.916,-22.156,108.721,-6.707,82.639
440,0.0356,1.1260,-0.2573,-61.401,21.240,-25.024,108.023,-6.487,82.919
450,-0.0039,0.9009,-0.4121,4.456,23.437,-18.311,108.100,-6.323,83.205
460,-0.0107,0.7178,-0.5513,45.654,22.644,-6.287,108.721,-6.262,83.441
470,0.0342,0.6597,-0.6377,53.162,16.052,5.310,109.484,-6.323,83.573
480,0.0923,0.7217,-0.6313,35.767,6.287,14.526,110.056,-6.471,83.584
490,0.1323,0.8516,-0.5444,7.690,-5.798,19.165,110.270,-6.636,83.463
500,0.1665,1.0210,-0.3979,-17.578,-19.714,18.677,110.138,-6.762,83.216
510,0.1855,1.1519,-0.2432,-24.902,-36.743,15.869,109.852,-6.806,82.809
520,0.1821,1.2085,-0.1694,-11.230,-49.744,11.414,109.682,-6.762,82.299
530,0.1621,1.1563,-0.1777,14.832,-49.805,7.629,109.781,-6.680,81.804
540,0.1211,1.0278,-0.2471,37.354,-36.255,4.150,110.127,-6.597,81.447
550,0.1001,0.9209,-0.3193,39.124,-14.282,1.892,110.522,-6.559,81.304
560,0.1069,0.8657,-0.3779,22.217,7.324,1.343,110.764,-6.592,81.370
570,0.1206,0.8657,-0.4219,-1.404,20.508,1.526,110.781,-6.685,81.557
580,0.1357,0.9136,-0.4404,-22.034,24.109,2.808,110.588,-6.806,81.771
590,0.1509,1.0122,-0.3789,-32.349,16.663,3.662,110.253,-6.910,81.914
600,0.1626,1.0947,-0.2910,-27.832,1.038,3.906,109.924,-6.960,81.914
610,0.1523,1.1128,-0.2227,-10.132,-14.343,4.150,109.753,-6.960,81.760
621,0.1284,1.0664,-0.1938,10.925,-22.522,3.296,109.792,-6.910,81.535
630,0.1016,0.9868,-0.2651,27.588,-17.456,2.197,110.039,-6.861,81.365
640,0.0879,0.8931,-0.3779,31.921,3.052,2.441,110.385,-6.877,81.387
650,0.0864,0.8413,-0.4785,20.142,31.555,2.930,110.638,-6.993,81.672
660,0.1167,0.8271,-0.5747,-4.272,55.359,3.174,110.676,-7.213,82.183
670,0.1841,0.8638,-0.5923,-30.762,60.547,0.854,110.440,-7.460,82.749
680,0.2319,0.9526,-0.5342,-48.828,36.438,-2.625,110.001,-7.608,83.106
690,0.2358,1.0220,-0.4209,-46.997,-10.864,-4.150,109.572,-7.575,83.018
700,0.2236,1.0503,-0.2764,-27.527,-65.125,-2.808,109.330,-7.377,82.408
710,0.1572,1.0371,-0.1421,3.845,-103.943,0.732,109.380,-7.053,81.414
720,0.0977,1.0029,-0.0376,35.645,-103.638,7.874,109.682,-6.773,80.403
730,0.0845,0.9561,-0.0068,58.167,-63.965,11.963,110.138,-6.652,79.755
740,0.0718,0.8960,-0.1274,69.336,-3.296,7.629,110.715,-6.691,79.700
750,0.0947,0.8335,-0.2725,56.335,51.575,0.977,111.187,-6.877,80.184
760,0.1299,0.7773,-0.4385,26.733,89.233,-4.883,111.434,-7.163,81.035
770,0.1812,0.8169,-0.5937,-9.766,97.595,-8.301,111.368,-7.471,81.985
780,0.2261,0.9106,-0.6787,-33.813,71.472,-12.024,111.094,-7.657,82.700
790,0.2402,0.9756,-0.6919,-35.583,18.738,-13.123,110.852,-7.635,82.925
800,0.2183,0.9976,-0.6089,-22.705,-40.588,-10.315,110.781,-7.427,82.579
810,0.1646,0.9727,-0.4419,-6.775,-93.506,-4.944,110.858,-7.070,81.711
820,0.0933,0.9556,-0.2261,5.432,-123.291,3.235,110.978,-6.647,80.541
830,0.0503,0.9731,0.0117,13.672,-114.929,10.010,111.028,-6.295,79.426
840,0.0747,1.0039,0.1729,20.935,-69.824,11.902,111.000,-6.136,78.728
850,0.1050,1.0078,0.1309,31.311,-7.751,4.517,111.039,-6.147,78.635
860,0.1177,0.9419,-0.0508,35.767,53.955,-5.798,111.154,-6.295,79.162
870,0.1484,0.8354,-0.2920,24.658,96.436,-12.756,111.281,-6.553,80.118
880,0.1846,0.8130,-0.4912,0.122,106.140,-16.174,111.259,-6.828,81.172
890,0.2017,0.8110,-0.6611,-19.714,83.191,-16.052,111.143,-7.020,82.007
900,0.2017,0.8721,-0.7334,-28.137,38.696,-12.146,111.006,-7.081,82.419
910,0.2134,0.9404,-0.7119,-25.635,-9.949,-6.958,110.923,-7.009,82.348
920,0.1934,0.9883,-0.6123,-14.282,-59.509,-2.625,110.956,-6.801,81.799
930,0.1489,1.0229,-0.4297,-2.502,-96.619,4.761,111.055,-6.509,80.870
940,0.1172,1.0313,-0.2061,3.357,-104.797,12.451,111.110,-6.251,79.843
950,0.0947,1.0483,-0.0151,3.662,-76.355,13.794,111.022,-6.097,79.074
960,0.0952,1.0811,0.0283,6.348,-26.611,6.104,110.891,-6.048,78.805
970,0.0840,0.9917,-0.1021,13.062,26.733,-4.211,110.841,-6.092,79.069
980,0.0864,0.8765,-0.3228,11.536,70.313,-11.292,110.874,-6.224,79.772
990,0.1182,0.8354,-0.5200,-3.784,89.294,-13.794,110.852,-6.416,80.662
1000,0.1411,0.8389,-0.6704,-17.517,77.881,-11.475,110.770,-6.597,81.436
1010,0.1660,0.8535,-0.7407,-22.949,43.945,-6.226,110.698,-6.713,81.870
1020,0.1797,0.8896,-0.7148,-21.057,1.587,-2.441,110.665,-6.718,81.892
1030,0.1899,0.9263,-0.6147,-15.259,-41.748,-0.793,110.687,-6.592,81.502
1040,0.1553,0.9814,-0.4434,-7.568,-80.078,2.808,110.737,-6.356,80.739
1050,0.1191,1.0186,-0.2290,0.793,-95.276,10.376,110.770,-6.119,79.805
1060,0.0962,1.0640,-0.0366,6.348,-82.703,13.672,110.731,-5.944,78.981
1070,0.1016,1.1035,0.0654,10.498,-44.373,10.132,110.638,-5.878,78.525
1080,0.1035,1.0840,-0.0132,18.982,3.113,-0.305,110.621,-5.883,78.558
1090,0.1143,0.9707,-0.2222,26.855,44.739,-9.705,110.764,-5.955,79.014
1100,0.1357,0.8438,-0.4336,18.005,68.970,-13.977,110.934,-6.086,79.711
1110,0.1367,0.7656,-0.5698,-1.709,67.932,-13.489,111.006,-6.224,80.398
1121,0.1274,0.7280,-0.6465,-21.179,47.241,-9.460,110.951,-6.317,80.876
1130,0.1431,0.8032,-0.6387,-34.180,16.479,-3.723,110.770,-6.356,81.041
1140,0.1631,0.9219,-0.5630,-34.363,-17.700,0.549,110.555,-6.323,80.876
1150,0.1680,1.0391,-0.4307,-22.217,-51.086,2.991,110.407,-6.196,80.381
1160,0.1406,1.0796,-0.2671,-4.272,-73.181,5.981,110.374,-6.010,79.673
1170,0.1123,1.0532,-0.1016,8.728,-74.158,9.338,110.391,-5.839,78.937
1180,0.0850,1.0303,0.0366,11.353,-52.246,9.521,110.330,-5.735,78.415
1190,0.0742,1.0249,0.0356,8.301,-12.329,4.395,110.204,-5.718,78.283
1200,0.0718,0.9863,-0.1260,11.353,31.006,-2.869,110.154,-5.779,78.585
1210,0.1030,0.9136,-0.3496,9.277,65.308,-7.385,110.193,-5.938,79.228
1220,0.1416,0.8779,-0.5435,-3.052,75.806,-8.972,110.198,-6.130,79.975
1230,0.1484,0.8623,-0.6567,-17.334,60.791,-8.301,110.138,-6.279,80.574
1240,0.1514,0.8682,-0.7051,-30.457,30.945,-5.615,109.990,-6.345,80.887
1250,0.1528,0.9316,-0.6445,-37.964,-2.380,-4.089,109.759,-6.317,80.881
1260,0.1592,0.9951,-0.5161,-37.048,-34.668,-3.967,109.506,-6.180,80.563
1270,0.1338,1.0439,-0.3467,-25.146,-61.523,-2.441,109.308,-5.960,79.991
1280,0.1152,1.0225,-0.1953,-6.897,-72.083,1.282,109.226,-5.740,79.299
1290,0.1035,0.9814,-0.0405,7.080,-70.557,3.906,109.193,-5.548,78.618
1300,0.0659,0.9961,0.0469,11.902,-56.519,6.836,109.144,-5.411,78.058
1310,0.0698,1.0088,0.0000,13.794,-23.071,6.653,109.111,-5.383,77.816
1320,0.0752,0.9829,-0.1919,23.376,14.038,0.732,109.254,-5.427,77.948
1330,0.0869,0.8965,-0.4150,27.771,40.710,-3.601,109.545,-5.521,78.349
1340,0.0898,0.7998,-0.5894,15.015,48.645,-4.028,109.819,-5.641,78.821
1350,0.0918,0.7671,-0.6689,-12.329,39.246,-3.357,109.869,-5.735,79.206
1360,0.1025,0.8208,-0.6328,-42.603,20.630,-1.160,109.605,-5.795,79.404
1370,0.1196,0.9492,-0.5000,-59.082,-1.648,0.793,109.105,-5.801,79.387
1380,0.1353,1.0659,-0.3442,-50.720,-23.560,1.892,108.616,-5.757,79.156
1390,0.1470,1.1475,-0.2163,-23.743,-39.429,2.869,108.336,-5.669,78.772
1400,0.1450,1.1387,-0.1260,8.179,-46.265,3.723,108.342,-5.576,78.316
1410,0.1250,1.0708,-0.0596,24.780,-41.504,4.822,108.474,-5.504,77.904
1420,0.1001,1.0220,-0.0708,21.851,-25.940,3.540,108.572,-5.455,77.646
1430,0.0898,0.9785,-0.1758,9.155,-1.953,-2.502,108.578,-5.422,77.635
1441,0.0806,0.9043,-0.3442,-7.996,22.339,-10.254,108.501,-5.389,77.882
1451,0.0957,0.8608,-0.4634,-33.447,39.001,-17.944,108.226,-5.345,78.311
1461,0.1001,0.8726,-0.5127,-64.148,42.542,-25.452,107.672,-5.240,78.794
1471,0.0723,0.9463,-0.5093,-86.792,33.875,-26.733,106.880,-5.076,79.200
1481,0.0742,1.0386,-0.4653,-87.830,19.653,-20.630,106.062,-4.927,79.453
1491,0.0874,1.0918,-0.4287,-61.829,2.319,-12.512,105.496,-4.807,79.508
1501,0.0889,1.1089,-0.3398,-25.208,-15.747,-5.249,105.276,-4.713,79.371
1511,0.0889,1.0522,-0.1973,8.484,-30.396,0.061,105.337,-4.631,79.074
1520,0.0781,0.9805,-0.0698,24.841,-41.138,4.761,105.502,-4.570,78.668
1531,0.0879,0.9580,0.0088,22.583,-39.551,8.789,105.595,-4.554,78.261
1541,0.1040,0.9888,-0.0151,15.747,-23.132,8.606,105.628,-4.592,78.014
1551,0.1230,1.0034,-0.1235,12.939,0.977,3.296,105.667,-4.647,78.014
1561,0.1187,0.9692,-0.2505,10.315,24.170,-3.052,105.738,-4.702,78.256
1571,0.1045,0.9263,-0.3340,0.671,41.077,-5.676,105.754,-4.774,78.668
1581,0.0986,0.9106,-0.3687,-18.494,49.377,-5.798,105.590,-4.861,79.162
1591,0.0996,0.9307,-0.3623,-33.875,47.485,-7.446,105.271,-4.922,79.640
1601,0.1016,0.9268,-0.3608,-33.997,33.997,-11.353,104.963,-4.916,79.997
1611,0.0752,0.9072,-0.3179,-24.048,12.024,-13.306,104.760,-4.812,80.151
1621,0.0630,0.8843,-0.2427,-13.428,-8.972,-9.583,104.634,-4.691,80.085
1630,0.0630,0.8994,-0.1973,-2.075,-25.391,-2.380,104.612,-4.598,79.849
1641,0.1006,0.9609,-0.1528,6.775,-35.339,5.066,104.650,-4.570,79.492
1651,0.1299,1.0098,-0.1362,13.428,-35.950,10.498,104.744,-4.609,79.113
1661,0.1675,1.0576,-0.1699,15.076,-24.170,11.780,104.859,-4.702,78.849
1671,0.1772,1.0435,-0.2266,7.812,-5.310,8.545,104.914,-4.818,78.777
1681,0.1348,0.9917,-0.2510,-9.399,10.803,1.709,104.810,-4.889,78.876
1691,0.0684,0.9282,-0.2695,-34.912,21.973,-6.775,104.458,-4.867,79.107
1701,0.0107,0.9053,-0.2979,-57.434,28.259,-14.282,103.898,-4.763,79.420
1711,-0.0146,0.9287,-0.3159,-67.078,30.823,-18.677,103.255,-4.598,79.761
1721,0.0049,0.9805,-0.3286,-57.373,27.039,-19.470,102.717,-4.427,80.074
1731,0.0635,1.0361,-0.3218,-32.532,17.273,-15.381,102.426,-4.307,80.277
1741,0.1152,1.0488,-0.2930,-0.427,2.747,-6.714,102.448,-4.263,80.316
1751,0.1553,1.0142,-0.2388,29.541,-13.367,3.906,102.761,-4.318,80.178
1761,0.1577,0.9712,-0.1968,45.959,-28.564,11.841,103.222,-4.417,79.871
1771,0.1270,0.9395,-0.1777,45.593,-37.659,15.259,103.678,-4.510,79.470
1781,0.1055,0.9321,-0.1831,30.334,-34.912,13.733,103.986,-4.576,79.096
1791,0.1040,0.9316,-0.2202,8.545,-21.729,7.080,104.079,-4.609,78.865
1801,0.1108,0.9614,-0.2505,-12.573,-5.676,-1.953,103.964,-4.592,78.816
1811,0.1113,0.9897,-0.2744,-29.968,6.531,-9.338,103.678,-4.537,78.904
1821,0.1094,0.9868,-0.2876,-37.964,12.512,-14.587,103.315,-4.438,79.058
1831,0.0815,0.9766,-0.2812,-35.522,8.789,-17.822,102.980,-4.290,79.184
1841,0.0386,0.9639,-0.2446,-27.344,-4.456,-15.442,102.722,-4.109,79.178
1851,0.0127,0.9634,-0.2046,-17.883,-21.179,-8.362,102.552,-3.950,78.986
1861,0.0249,0.9717,-0.1968,-9.827,-37.170,-1.343,102.469,-3.834,78.629
1871,0.0537,1.0103,-0.2061,-4.883,-48.218,5.615,102.442,-3.774,78.146
1881,0.0737,1.0513,-0.2129,-3.174,-47.791,14.709,102.431,-3.818,77.646
1891,0.0937,1.0376,-0.2261,-4.517,-35.156,19.897,102.415,-3.944,77.256
1901,0.1211,1.0444,-0.2183,-11.353,-14.587,16.602,102.305,-4.103,77.080
1911,0.1216,1.0410,-0.2158,-19.958,5.005,6.775,102.101,-4.202,77.113
1921,0.0654,0.9868,-0.2231,-25.024,17.761,-4.456,101.843,-4.191,77.300
1931,0.0024,0.9517,-0.2461,-25.146,24.292,-14.343,101.602,-4.059,77.563
1941,-0.0278,0.9297,-0.3042,-19.348,24.780,-19.775,101.459,-3.862,77.849
1951,-0.0205,0.9531,-0.3330,-8.972,18.677,-18.677,101.431,-3.664,78.069
1961,0.0308,1.0034,-0.3232,2.136,5.737,-10.803,101.514,-3.554,78.146
1971,0.1284,1.0708,-0.2622,10.071,-11.658,1.221,101.640,-3.571,78.030
1981,0.2109,1.0996,-0.1572,13.916,-31.677,10.132,101.766,-3.680,77.701
1991,0.2056,1.0903,-0.0503,15.320,-49.255,14.526,101.860,-3.790,77.184
2001,0.1440,1.0483,0.0049,15.381,-49.561,14.038,101.920,-3.867,76.668
2011,0.0508,0.9434,-0.0117,13.062,-27.466,6.531,101.959,-3.867,76.388
2021,-0.0151,0.8647,-0.1001,6.897,6.958,-7.141,101.970,-3.763,76.470
2031,-0.0352,0.8164,-0.1831,-5.371,41.016,-17.822,101.893,-3.609,76.910
2041,0.0059,0.8174,-0.2407,-22.339,63.904,-23.254,101.673,-3.483,77.585
2051,0.0693,0.8955,-0.2891,-33.203,67.383,-23.926,101.365,-3.395,78.294
2061,0.1206,0.9561,-0.3271,-25.391,48.523,-19.775,101.157,-3.329,78.810
2071,0.1353,0.9907,-0.3306,-4.944,15.381,-9.644,101.173,-3.307,78.981
2081,0.1250,0.9795,-0.2979,15.930,-19.226,3.174,101.398,-3.340,78.783
2091,0.1074,0.9326,-0.2329,27.161,-52.063,14.099,101.728,-3.406,78.245
2101,0.0771,0.9272,-0.1553,25.085,-74.646,23.743,101.997,-3.494,77.465
2111,0.0288,0.9717,-0.0576,16.479,-74.036,29.968,102.123,-3.615,76.679
