elapsed_ms,acc_x_g,acc_y_g,acc_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,angle_x_deg,angle_y_deg,angle_z_deg
0,-0.7441,-0.4258,-0.5166,-25.146,-5.188,37.170,-127.612,41.380,175.424
10,-0.7476,-0.2896,-0.5420,-11.047,-2.563,40.405,-128.161,41.808,175.122
20,-0.7104,-0.3218,-0.5186,16.113,-4.089,30.823,-128.342,42.149,174.913
30,-0.6523,-0.5215,-0.4497,42.297,-12.390,10.132,-127.919,42.314,174.957
40,-0.6216,-0.7891,-0.3848,51.514,-24.719,-13.733,-127.035,42.286,175.336
50,-0.6191,-0.9565,-0.3169,43.335,-36.316,-34.180,-125.975,42.127,176.006
60,-0.6465,-0.8369,-0.3237,22.827,-43.030,-38.940,-125.085,42.001,176.786
71,-0.7134,-0.5386,-0.3721,10.437,-35.950,-19.165,-124.612,42.105,177.330
80,-0.7554,-0.2705,-0.4351,17.883,-18.494,12.695,-124.601,42.451,177.435
90,-0.7671,-0.1177,-0.4600,45.532,1.404,37.048,-124.761,42.902,177.138
100,-0.7251,-0.2690,-0.4438,78.613,14.099,40.405,-124.541,43.270,176.666
110,-0.6450,-0.6499,-0.3296,96.985,13.977,21.729,-123.728,43.347,176.336
120,-0.5610,-1.0186,-0.2173,79.834,-1.099,-7.751,-122.673,43.143,176.407
130,-0.5273,-1.1289,-0.1948,30.212,-22.339,-31.921,-121.811,42.808,176.902
140,-0.5776,-0.8560,-0.2622,-22.705,-36.011,-34.729,-121.437,42.605,177.567
150,-0.6440,-0.4932,-0.3740,-52.795,-34.363,-7.690,-121.712,42.753,178.022
160,-0.7139,-0.2139,-0.4448,-54.993,-17.517,32.104,-122.602,43.242,177.995
170,-0.7910,0.0664,-0.5537,-34.790,-0.427,59.814,173.161,43.857,177.556
180,-0.8086,-0.1362,-0.5610,11.047,11.475,57.068,-166.349,43.786,176.792
190,-0.7192,-0.4966,-0.3965,57.861,9.521,20.447,-165.608,43.792,176.484
200,-0.6636,-0.7905,-0.2827,64.819,-6.042,-24.048,-164.174,43.731,176.825
210,-0.6396,-0.9717,-0.2568,39.063,-21.301,-53.650,-162.647,43.676,177.621
220,-0.6201,-0.8696,-0.2676,4.700,-32.166,-61.340,-161.400,43.709,178.566
230,-0.6514,-0.6177,-0.3608,-18.372,-34.424,-40.588,-160.703,43.890,179.247
240,-0.6812,-0.6025,-0.4048,-17.090,-22.034,-7.324,-160.367,44.066,179.445
250,-0.7261,-0.4854,-0.4297,-3.540,-12.451,13.428,-160.197,44.264,179.324
260,-0.7305,-0.5254,-0.4341,21.606,-6.897,14.404,-159.785,44.407,179.171
270,-0.6768,-0.7266,-0.3398,53.345,-4.089,-1.343,-158.785,44.396,179.209
280,-0.6616,-0.9131,-0.2554,62.317,-5.554,-16.113,-157.473,44.297,179.445
290,-0.6353,-0.9365,-0.2285,47.913,-10.681,-18.555,-156.253,44.214,179.742
300,-0.6084,-0.8716,-0.2207,24.658,-14.099,-6.958,-155.374,44.214,179.912
310,-0.6436,-0.6982,-0.2715,1.099,-14.832,14.526,-154.990,44.368,179.813
320,-0.6992,-0.5508,-0.3071,-10.254,-12.268,32.776,-154.968,44.654,179.467
330,-0.7310,-0.4199,-0.3403,-7.629,-8.911,36.743,-155.072,44.978,179.055
340,-0.7720,-0.3379,-0.3716,6.836,-5.005,27.039,-155.056,45.253,178.737
350,-0.7646,-0.4780,-0.3433,30.823,0.366,6.165,-154.512,45.346,178.654
360,-0.7056,-0.6987,-0.2412,47.852,1.953,-16.724,-153.441,45.242,178.857
370,-0.6826,-0.7754,-0.2173,36.682,-3.113,-26.978,-152.347,45.104,179.220
380,-0.6602,-0.7769,-0.2563,14.099,-6.836,-22.583,-151.534,44.995,179.550
390,-0.6426,-0.8027,-0.2812,-4.211,-5.432,-7.446,-151.062,44.929,179.681
400,-0.6543,-0.7212,-0.3281,-19.592,-4.272,9.766,-150.958,44.962,179.588
410,-0.6816,-0.5825,-0.3916,-28.687,-2.075,22.766,-151.155,45.077,179.319
