elapsed_ms,acc_x_g,acc_y_g,acc_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,angle_x_deg,angle_y_deg,angle_z_deg
0,0.1895,0.8599,0.4961,-0.793,0.732,0.671,60.051,-9.888,-12.678
10,0.1821,0.8608,0.4927,-0.488,0.671,0.488,60.046,-9.893,-12.673
20,0.1846,0.8579,0.4888,-0.488,1.160,0.244,60.040,-9.899,-12.662
29,0.1768,0.8574,0.4834,-0.854,2.319,0.366,60.035,-9.893,-12.634
39,0.1870,0.8491,0.4810,-1.892,4.700,1.160,60.013,-9.888,-12.590
49,0.1689,0.8271,0.4775,-5.310,8.301,3.540,59.947,-9.877,-12.497
59,0.1221,0.8071,0.4751,-12.817,13.855,7.568,59.788,-9.849,-12.338
69,0.0625,0.8257,0.4629,-24.170,21.667,10.620,59.513,-9.772,-12.096
79,0.0430,0.8545,0.4585,-33.203,30.640,10.864,59.156,-9.641,-11.772
90,0.1255,0.8784,0.4785,-37.354,38.025,10.010,58.744,-9.509,-11.387
99,0.2305,0.9175,0.5190,-35.400,37.231,10.376,58.348,-9.432,-11.008
109,0.2930,0.9419,0.5610,-25.635,27.527,10.498,58.057,-9.432,-10.717
120,0.2578,0.9238,0.5693,-11.047,13.367,8.484,57.925,-9.470,-10.558
130,0.2217,0.8892,0.5771,2.747,-0.061,1.526,57.942,-9.509,-10.547
139,0.1841,0.8345,0.5737,13.000,-9.949,-7.263,58.068,-9.509,-10.673
149,0.1211,0.7900,0.5454,15.869,-14.038,-14.099,58.228,-9.443,-10.871
159,0.1025,0.7637,0.5190,10.742,-10.864,-17.761,58.343,-9.316,-11.058
169,0.1167,0.7568,0.4985,-0.916,-3.174,-15.930,58.332,-9.179,-11.168
179,0.1396,0.7764,0.4902,-14.221,6.042,-8.850,58.184,-9.069,-11.168
189,0.1621,0.8125,0.4951,-26.428,14.404,-0.366,57.909,-8.992,-11.041
199,0.1641,0.8423,0.5039,-33.813,19.958,6.531,57.552,-8.948,-10.838
209,0.1904,0.8525,0.5215,-36.072,21.973,10.010,57.167,-8.937,-10.596
219,0.2007,0.8696,0.5508,-33.752,18.738,10.559,56.805,-8.943,-10.377
229,0.2021,0.8740,0.5752,-28.137,11.658,8.484,56.503,-8.970,-10.234
239,0.1875,0.8682,0.5923,-20.630,3.296,4.211,56.283,-8.998,-10.179
249,0.1650,0.8550,0.5962,-12.329,-3.967,-1.099,56.157,-9.009,-10.217
259,0.1289,0.8315,0.5869,-4.150,-8.179,-5.859,56.118,-8.992,-10.322
269,0.1025,0.8091,0.5630,3.174,-8.240,-8.789,56.157,-8.932,-10.443
279,0.1016,0.7852,0.5493,6.836,-4.517,-9.094,56.228,-8.855,-10.530
289,0.1270,0.7681,0.5410,4.761,0.305,-5.981,56.266,-8.789,-10.563
299,0.1665,0.7739,0.5615,-2.869,3.784,-0.854,56.212,-8.773,-10.536
310,0.1738,0.7979,0.5757,-11.719,4.456,4.150,56.063,-8.795,-10.475
319,0.1641,0.8237,0.5869,-17.822,3.845,7.080,55.860,-8.839,-10.399
329,0.1489,0.8433,0.5947,-19.592,4.150,7.080,55.646,-8.866,-10.327
339,0.1260,0.8428,0.5913,-16.174,6.348,4.639,55.470,-8.849,-10.245
349,0.1289,0.8232,0.5791,-11.292,10.254,0.854,55.338,-8.784,-10.157
359,0.1304,0.7993,0.5708,-7.446,13.550,-1.892,55.239,-8.679,-10.052
369,0.1470,0.7783,0.5649,-6.653,15.381,-2.258,55.140,-8.575,-9.937
379,0.1475,0.7905,0.5698,-8.240,14.465,-0.488,55.036,-8.487,-9.822
389,0.1416,0.8013,0.5781,-9.216,12.329,1.587,54.921,-8.427,-9.712
399,0.1367,0.8062,0.5771,-9.155,10.254,3.174,54.805,-8.388,-9.608
409,0.1113,0.8081,0.5688,-7.507,9.033,3.601,54.717,-8.350,-9.514
419,0.1182,0.7974,0.5605,-5.066,9.644,2.197,54.657,-8.295,-9.421
429,0.1416,0.7876,0.5508,-2.502,10.132,1.038,54.624,-8.251,-9.327
439,0.1885,0.7949,0.5581,-1.343,8.728,2.014,54.602,-8.240,-9.245
449,0.2114,0.8237,0.5762,-0.732,4.272,4.944,54.591,-8.295,-9.179
459,0.1948,0.8525,0.5835,1.221,-1.221,7.812,54.608,-8.388,-9.146
469,0.1328,0.8706,0.5723,4.883,-4.456,8.240,54.673,-8.470,-9.135
479,0.0918,0.8564,0.5488,9.766,-2.319,5.676,54.794,-8.492,-9.119
489,0.0947,0.8169,0.5322,11.414,3.967,2.197,54.926,-8.459,-9.075
499,0.1279,0.7935,0.5288,7.874,9.338,-0.916,55.003,-8.394,-9.003
509,0.1719,0.7964,0.5391,0.916,10.681,-2.747,55.014,-8.328,-8.932
519,0.2124,0.8174,0.5557,-5.432,6.714,-2.014,54.959,-8.311,-8.888
529,0.2256,0.8481,0.5898,-8.301,-0.549,1.038,54.882,-8.361,-8.882
539,0.1919,0.8794,0.6094,-6.348,-7.935,3.479,54.827,-8.454,-8.932
549,0.1357,0.8794,0.6064,-0.610,-11.353,2.808,54.838,-8.525,-9.009
559,0.0889,0.8501,0.5884,5.737,-8.972,-0.732,54.910,-8.536,-9.086
569,0.0659,0.7974,0.5610,9.094,-2.502,-5.127,55.009,-8.465,-9.135
579,0.0835,0.7510,0.5396,6.653,4.944,-7.446,55.069,-8.339,-9.141
589,0.1553,0.7451,0.5513,-1.831,9.766,-6.409,55.031,-8.245,-9.097
599,0.1880,0.7832,0.5688,-11.353,9.033,-2.319,54.899,-8.201,-9.036
609,0.2007,0.8286,0.5874,-16.724,4.883,2.258,54.723,-8.223,-8.981
619,0.1650,0.8564,0.6001,-15.320,0.549,4.761,54.569,-8.267,-8.948
629,0.1104,0.8545,0.5835,-7.690,-0.732,3.723,54.498,-8.278,-8.932
639,0.0923,0.8081,0.5630,0.732,2.502,0.000,54.509,-8.234,-8.910
649,0.0937,0.7539,0.5459,4.333,6.714,-2.686,54.542,-8.152,-8.871
659,0.1265,0.7305,0.5479,0.916,9.033,-3.052,54.531,-8.069,-8.817
669,0.1748,0.7495,0.5664,-6.226,7.385,-1.038,54.443,-8.042,-8.762
679,0.1792,0.8047,0.5835,-11.047,2.380,2.991,54.327,-8.075,-8.723
689,0.1387,0.8423,0.5854,-9.705,-1.892,6.714,54.234,-8.135,-8.701
