elapsed_ms,acc_x_g,acc_y_g,acc_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,angle_x_deg,angle_y_deg,angle_z_deg
0,-0.4902,0.5625,-0.6748,-0.061,-5.249,2.930,139.460,28.954,-107.677
10,-0.4912,0.5728,-0.6812,0.305,-4.456,3.723,139.433,28.965,-107.743
20,-0.4907,0.5791,-0.6797,0.916,-3.967,4.150,139.411,28.965,-107.809
30,-0.4941,0.5972,-0.6792,1.038,-4.150,4.272,139.384,28.965,-107.875
40,-0.4897,0.6021,-0.6851,1.282,-4.578,3.845,139.356,28.965,-107.941
50,-0.4839,0.6118,-0.6914,0.916,-5.127,3.052,139.329,28.971,-108.007
60,-0.4844,0.6201,-0.6929,-0.122,-5.493,2.258,139.285,28.987,-108.067
70,-0.4834,0.6191,-0.6870,-1.953,-5.798,1.648,139.224,29.004,-108.127
80,-0.4868,0.6157,-0.6748,-4.211,-6.287,0.977,139.142,29.037,-108.182
90,-0.4922,0.6187,-0.6650,-6.226,-6.714,0.244,139.032,29.081,-108.232
100,-0.4961,0.6187,-0.6533,-7.202,-7.324,-0.305,138.911,29.136,-108.287
110,-0.5029,0.6099,-0.6436,-7.019,-7.385,-0.977,138.796,29.202,-108.331
120,-0.5098,0.5957,-0.6343,-6.226,-6.897,-1.587,138.697,29.273,-108.369
130,-0.5293,0.5835,-0.6196,-5.188,-5.981,-1.831,138.609,29.355,-108.402
140,-0.5391,0.5635,-0.6055,-4.028,-4.944,-1.831,138.543,29.443,-108.424
150,-0.5410,0.5439,-0.5996,-2.563,-3.357,-1.831,138.505,29.520,-108.435
160,-0.5298,0.5366,-0.5996,-1.160,-1.709,-1.465,138.494,29.581,-108.435
170,-0.4995,0.5493,-0.6118,-0.305,-0.244,-0.488,138.483,29.603,-108.430
180,-0.4829,0.5537,-0.6216,-0.122,0.916,0.671,138.483,29.597,-108.430
190,-0.4888,0.5562,-0.6274,-1.282,1.404,1.953,138.466,29.581,-108.435
200,-0.5024,0.5669,-0.6304,-3.784,1.770,2.808,138.422,29.559,-108.446
210,-0.5200,0.5776,-0.6240,-6.531,1.831,3.418,138.334,29.542,-108.463
220,-0.5425,0.5933,-0.6255,-8.423,2.136,3.601,138.224,29.531,-108.474
230,-0.5459,0.6196,-0.6475,-8.057,4.395,2.930,138.131,29.498,-108.468
240,-0.5205,0.6406,-0.6675,-5.066,7.935,2.136,138.082,29.421,-108.424
