elapsed_ms,acc_x_g,acc_y_g,acc_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,angle_x_deg,angle_y_deg,angle_z_deg
0,0.0786,0.4375,-0.9463,-0.427,0.427,-0.61,155.303,-4.395,118.685
30,0.0781,0.4346,-0.9468,-0.305,0.305,-0.549,155.297,-4.4,118.702
40,0.0781,0.4351,-0.9502,-0.183,0.244,-0.488,155.292,-4.395,118.707
60,0.0786,0.4355,-0.9468,-0.244,0.183,-0.366,155.292,-4.395,118.718
80,0.0815,0.4346,-0.9492,-0.305,0.183,-0.366,155.286,-4.395,118.724
100,0.0806,0.4321,-0.9512,-0.183,0.183,-0.366,155.286,-4.395,118.735
110,0.0781,0.4336,-0.9507,-0.305,0.183,-0.427,155.286,-4.395,118.74
140,0.0815,0.4375,-0.9487,-0.305,0.305,-0.488,155.275,-4.395,118.757
150,0.0786,0.4355,-0.9473,-0.122,0.366,-0.488,155.27,-4.4,118.762
160,0.0786,0.4355,-0.9473,0.0,0.366,-0.427,155.27,-4.4,118.768
169,0.0806,0.4365,-0.9458,-0.061,0.305,-0.366,155.27,-4.4,118.773
190,0.0801,0.437,-0.9497,-0.183,0.183,-0.244,155.264,-4.4,118.779
209,0.0801,0.4351,-0.9526,-0.122,0.061,-0.305,155.264,-4.4,118.784
220,0.0811,0.4395,-0.9468,-0.366,0.061,-0.244,155.259,-4.4,118.784
249,0.0801,0.4375,-0.9487,-0.061,0.061,0.0,155.253,-4.406,118.79
260,0.0786,0.438,-0.9502,0.427,0.061,-0.061,155.259,-4.406,118.79
279,0.0781,0.436,-0.9463,0.122,0.061,0.183,155.259,-4.4,118.79
299,0.0791,0.4375,-0.9492,-0.183,-0.122,0.305,155.259,-4.4,118.779
309,0.0791,0.4385,-0.9502,-0.183,-0.122,0.305,155.259,-4.4,118.779
319,0.0791,0.4385,-0.9502,0.122,-0.122,0.427,155.259,-4.4,118.773
329,0.0796,0.4365,-0.9438,0.122,-0.122,0.427,155.259,-4.406,118.768
369,0.085,0.4307,-0.939,0.366,0.0,1.099,155.264,-4.406,118.74
409,0.0811,0.4336,-0.9507,-0.366,-0.061,0.671,155.275,-4.411,118.707
428,0.0801,0.4336,-0.9448,-0.061,-0.183,0.793,155.281,-4.417,118.691
439,0.0801,0.4355,-0.9536,-0.061,-0.183,0.793,155.275,-4.417,118.685
479,0.082,0.4302,-0.9468,0.061,0.0,0.549,155.297,-4.427,118.663
538,0.082,0.4355,-0.9463,-0.427,0.183,0.183,155.292,-4.444,118.647
559,0.082,0.436,-0.9478,-0.549,0.183,0.122,155.281,-4.449,118.647
578,0.082,0.436,-0.9478,-0.366,0.244,0.0,155.275,-4.455,118.647
588,0.0796,0.4375,-0.9492,-0.488,0.305,-0.061,155.27,-4.455,118.647
628,0.0806,0.4351,-0.9468,-0.366,0.244,-0.061,155.242,-4.46,118.652
688,0.0801,0.4385,-0.9468,-0.183,0.305,0.0,155.226,-4.471,118.663
698,0.0815,0.4351,-0.9487,-0.061,0.305,0.0,155.226,-4.477,118.663
727,0.0806,0.4351,-0.9478,-0.244,0.366,0.061,155.22,-4.482,118.669
