elapsed_ms,acc_x_g,acc_y_g,acc_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,angle_x_deg,angle_y_deg,angle_z_deg
0,0.0601,-0.2944,-1.0151,21.729,4.822,6.714,-167.563,-1.956,-153.457
9,0.0508,-0.2412,-1.0083,21.729,4.822,6.714,-167.36,-1.939,-153.49
19,0.0508,-0.2412,-1.0083,14.771,-4.883,5.615,-167.212,-1.895,-153.534
29,0.0356,-0.1631,-0.9951,14.771,-4.883,5.615,-167.162,-1.824,-153.605
49,-0.0205,-0.2129,-1.0132,14.771,-4.883,5.615,-167.151,-1.692,-153.918
59,-0.0151,-0.2266,-1.0142,5.981,3.723,14.526,-167.086,-1.67,-154.067
69,-0.0151,-0.2266,-1.0142,9.644,3.723,9.033,-166.992,-1.67,-154.16
89,0.022,-0.2412,-0.998,9.644,3.723,9.033,-166.778,-1.648,-154.21
109,0.0181,-0.2402,-1.0073,7.019,-6.165,-3.113,-166.619,-1.544,-154.133
118,0.0181,-0.2402,-1.0073,4.395,-6.104,-3.54,-166.58,-1.489,-154.089
129,0.0142,-0.2422,-1.0146,1.404,-6.47,-3.601,-166.564,-1.428,-154.034
158,0.0503,-0.2451,-1.0342,-4.761,-9.46,-2.38,-166.641,-1.225,-153.869
168,0.0503,-0.2451,-1.0342,-8.24,-11.719,0.549,-166.723,-1.11,-153.847
208,0.0161,-0.252,-1.0317,-3.906,-17.09,0.305,-166.965,-0.549,-153.776
219,0.0166,-0.2524,-1.0317,-1.099,-15.93,-0.183,-166.965,-0.396,-153.737
238,0.0166,-0.2524,-1.0317,-1.099,-15.93,-0.183,-166.959,-0.181,-153.688
259,-0.0044,-0.2271,-1.0498,-3.845,-2.38,5.188,-167.025,-0.093,-153.748
278,-0.0044,-0.2271,-1.0498,-3.845,-2.38,5.188,-167.108,-0.077,-153.836
308,0.0186,-0.2334,-1.0093,0.305,3.418,-1.831,-167.102,-0.214,-153.836
318,0.0186,-0.2334,-1.0093,0.305,3.418,-1.831,-167.108,-0.264,-153.836
328,0.0186,-0.2334,-1.0093,-2.319,2.991,-0.122,-167.13,-0.297,-153.842
348,-0.0049,-0.2227,-1.0229,-2.319,2.991,-0.122,-167.168,-0.374,-153.842
358,0.001,-0.2207,-1.0151,2.502,6.287,-2.136,-167.146,-0.434,-153.836
388,0.0151,-0.2246,-1.0034,3.845,6.47,-1.343,-167.053,-0.643,-153.902
