elapsed_ms,acc_x_g,acc_y_g,acc_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,angle_x_deg,angle_y_deg,angle_z_deg
0,-0.063,-0.6045,-0.8306,-0.305,-0.183,0.549,-143.937,3.593,25.214
11,-0.0649,-0.604,-0.8364,-0.122,-0.305,0.549,-143.943,3.598,25.214
30,-0.0684,-0.605,-0.835,-0.122,-0.305,0.549,-143.948,3.615,25.208
50,-0.0688,-0.605,-0.8359,0.0,0.061,0.427,-143.954,3.62,25.197
70,-0.0679,-0.604,-0.835,-0.183,-0.061,0.366,-143.959,3.625,25.192
80,-0.0679,-0.604,-0.835,-0.183,-0.061,0.366,-143.959,3.631,25.192
100,-0.0674,-0.6045,-0.8325,-0.061,-0.183,0.427,-143.965,3.647,25.186
120,-0.0669,-0.604,-0.834,-0.122,-0.061,0.305,-143.97,3.653,25.181
140,-0.0659,-0.6045,-0.834,-0.061,-0.244,0.183,-143.97,3.658,25.181
150,-0.0659,-0.6045,-0.834,-0.061,-0.305,0.183,-143.976,3.664,25.181
160,-0.0688,-0.6016,-0.8325,-0.061,-0.305,0.244,-143.976,3.669,25.181
180,-0.0679,-0.604,-0.835,0.366,-0.061,0.244,-143.976,3.675,25.181
190,-0.0679,-0.604,-0.835,0.183,-0.061,0.244,-143.976,3.68,25.175
209,-0.0669,-0.603,-0.835,-0.061,-0.366,0.244,-143.981,3.691,25.181
230,-0.0679,-0.6064,-0.8325,-0.244,-0.427,0.122,-143.987,3.697,25.181
249,-0.0669,-0.606,-0.8306,0.183,-0.122,0.122,-143.981,3.702,25.181
259,-0.0669,-0.606,-0.8306,0.122,-0.244,0.183,-143.981,3.708,25.181
270,-0.0669,-0.606,-0.8306,0.0,-0.244,0.183,-143.981,3.713,25.181
289,-0.0703,-0.604,-0.835,-0.122,-0.122,0.122,-143.987,3.719,25.181
310,-0.0688,-0.6074,-0.832,-0.366,-0.366,-0.122,-143.992,3.724,25.186
319,-0.0688,-0.6074,-0.832,-0.366,-0.366,-0.122,-143.992,3.724,25.186
339,-0.0703,-0.6099,-0.8315,0.244,-0.427,-0.244,-143.987,3.735,25.197
359,-0.0732,-0.6035,-0.8345,0.427,-0.122,-0.305,-143.981,3.741,25.203
369,-0.0732,-0.6035,-0.8345,0.427,-0.122,-0.305,-143.976,3.741,25.208
379,-0.0645,-0.6025,-0.8325,0.183,0.122,-0.244,-143.976,3.735,25.208
399,-0.063,-0.6025,-0.832,-0.061,-0.122,-0.061,-143.976,3.73,25.208
419,-0.0625,-0.6113,-0.8345,-0.305,-0.244,0.061,-143.981,3.724,25.214
439,-0.0679,-0.6138,-0.8354,0.061,0.305,0.244,-143.976,3.73,25.208
449,-0.0679,-0.6138,-0.8354,0.061,0.305,0.244,-143.97,3.73,25.203
468,-0.0708,-0.6084,-0.8354,0.549,0.0,0.427,-143.959,3.735,25.192
489,-0.0669,-0.5996,-0.832,0.549,0.122,0.305,-143.954,3.735,25.186
508,-0.0659,-0.603,-0.8306,0.122,0.305,0.366,-143.948,3.735,25.175
529,-0.0669,-0.6099,-0.8315,-0.549,-0.366,0.488,-143.954,3.746,25.175
548,-0.0674,-0.6089,-0.8325,-0.183,-0.61,0.61,-143.959,3.763,25.17
558,-0.0674,-0.6089,-0.8325,-0.183,-0.61,0.61,-143.959,3.768,25.17
578,-0.0708,-0.6055,-0.8364,0.183,-0.122,0.549,-143.959,3.779,25.159
598,-0.0674,-0.6025,-0.832,0.0,-0.183,0.427,-143.965,3.785,25.153
618,-0.0688,-0.6021,-0.8354,-0.244,-0.366,0.61,-143.97,3.801,25.148
628,-0.0688,-0.6021,-0.8354,-0.244,-0.427,0.671,-143.976,3.807,25.148
638,-0.0713,-0.605,-0.8296,-0.061,-0.305,0.671,-143.976,3.818,25.142
658,-0.0732,-0.6045,-0.8325,-0.061,-0.305,0.671,-143.976,3.829,25.137
668,-0.0713,-0.6045,-0.835,0.488,0.061,0.427,-143.97,3.829,25.131
678,-0.0688,-0.604,-0.8354,0.549,-0.061,0.427,-143.965,3.834,25.131
687,-0.0688,-0.604,-0.8354,0.549,-0.061,0.427,-143.965,3.834,25.126
708,-0.0713,-0.6016,-0.833,0.305,-0.122,0.244,-143.959,3.845,25.126
727,-0.0718,-0.6045,-0.835,0.305,-0.122,0.244,-143.959,3.851,25.126
748,-0.0737,-0.604,-0.835,0.122,-0.427,0.244,-143.959,3.862,25.126
757,-0.0747,-0.604,-0.8369,0.122,-0.427,0.244,-143.965,3.867,25.126
778,-0.0703,-0.6025,-0.835,0.366,0.0,-0.061,-143.959,3.873,25.126
797,-0.0698,-0.6064,-0.8311,0.244,0.0,-0.122,-143.954,3.873,25.126
808,-0.0742,-0.6011,-0.8354,0.0,-0.061,-0.122,-143.959,3.873,25.126
817,-0.0728,-0.603,-0.8354,0.0,0.183,-0.122,-143.959,3.873,25.126
837,-0.0708,-0.6016,-0.8325,0.244,0.244,-0.061,-143.959,3.873,25.126
857,-0.0679,-0.6079,-0.8291,-0.122,-0.366,-0.122,-143.959,3.867,25.126
877,-0.0664,-0.6074,-0.8301,-0.122,-0.366,-0.122,-143.954,3.873,25.126
887,-0.0664,-0.6074,-0.8301,0.122,0.0,-0.183,-143.954,3.873,25.126
907,-0.0732,-0.6035,-0.834,0.061,0.122,-0.183,-143.959,3.873,25.126
927,-0.0688,-0.6011,-0.8364,-0.061,-0.244,-0.244,-143.965,3.867,25.126
946,-0.0703,-0.605,-0.833,-0.305,-0.183,-0.061,-143.97,3.873,25.126
957,-0.0703,-0.605,-0.833,-0.366,-0.183,-0.061,-143.976,3.873,25.126
967,-0.0693,-0.606,-0.8345,-0.244,-0.122,0.0,-143.976,3.873,25.126
986,-0.0684,-0.6074,-0.835,-0.244,-0.122,0.0,-143.976,3.878,25.126
997,-0.0679,-0.6064,-0.833,-0.061,-0.183,0.244,-143.976,3.878,25.126
1037,-0.0703,-0.604,-0.8369,-0.366,0.0,0.244,-143.992,3.884,25.126
1056,-0.0703,-0.604,-0.8359,-0.366,-0.366,0.183,-144.003,3.889,25.126
1066,-0.0703,-0.604,-0.8359,-0.061,-0.244,-0.122,-143.998,3.889,25.126
1077,-0.0742,-0.6074,-0.8306,0.244,-0.122,-0.061,-143.998,3.895,25.126
1096,-0.0737,-0.6069,-0.8311,0.244,-0.122,-0.061,-143.992,3.895,25.126
1106,-0.0698,-0.603,-0.833,0.061,0.061,0.061,-143.992,3.895,25.126
1116,-0.0674,-0.6021,-0.8359,-0.244,0.061,0.061,-143.998,3.889,25.126
1136,-0.0708,-0.6016,-0.834,-0.488,-0.366,0.183,-144.009,3.895,25.126
1146,-0.0708,-0.6016,-0.834,-0.488,-0.366,0.183,-144.014,3.9,25.126
1166,-0.0723,-0.606,-0.8354,0.0,0.061,0.183,-144.014,3.911,25.126
1186,-0.0781,-0.6055,-0.8354,0.366,0.61,0.183,-144.009,3.911,25.126
1206,-0.0796,-0.6035,-0.8359,0.366,0.183,0.061,-144.009,3.917,25.126
