elapsed_ms,acc_x_g,acc_y_g,acc_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,angle_x_deg,angle_y_deg,angle_z_deg
0,-0.3159,-0.5342,-0.8237,4.395,0.793,0.977,-146.558,17.518,-66.374
9,-0.3159,-0.5342,-0.8237,4.395,0.793,0.977,-146.514,17.523,-66.385
30,-0.3174,-0.542,-0.7935,2.808,-0.061,0.0,-146.437,17.534,-66.385
49,-0.3208,-0.5439,-0.7886,0.061,-1.099,-0.061,-146.398,17.567,-66.374
60,-0.3228,-0.5464,-0.7871,-0.916,-1.099,-0.061,-146.393,17.589,-66.368
70,-0.3242,-0.5493,-0.7871,-1.526,-0.732,-0.122,-146.393,17.606,-66.363
89,-0.3188,-0.5527,-0.791,-2.502,0.122,-0.244,-146.415,17.617,-66.357
100,-0.314,-0.5498,-0.8003,-3.174,0.244,-0.122,-146.437,17.617,-66.357
110,-0.313,-0.5469,-0.8066,-3.845,0.061,-0.183,-146.464,17.617,-66.357
129,-0.312,-0.5415,-0.8223,-4.15,-0.061,0.061,-146.547,17.617,-66.357
140,-0.312,-0.5415,-0.8223,-4.15,-0.061,0.061,-146.591,17.617,-66.357
159,-0.3101,-0.54,-0.8354,-0.977,0.854,0.427,-146.635,17.6,-66.374
169,-0.3091,-0.54,-0.8403,-0.977,0.854,0.427,-146.646,17.589,-66.385
179,-0.3091,-0.541,-0.8389,1.038,1.16,0.366,-146.646,17.578,-66.396
199,-0.311,-0.5415,-0.8369,1.038,1.16,0.366,-146.618,17.567,-66.412
209,-0.314,-0.542,-0.8223,2.502,0.549,0.183,-146.596,17.567,-66.418
219,-0.3149,-0.5439,-0.8135,2.686,0.549,0.061,-146.569,17.567,-66.418
249,-0.3203,-0.5435,-0.7979,2.319,0.549,0.366,-146.475,17.573,-66.434
269,-0.3184,-0.541,-0.7944,1.892,0.549,0.488,-146.437,17.584,-66.451
289,-0.3213,-0.5425,-0.7959,1.892,0.549,0.488,-146.431,17.6,-66.456
319,-0.3188,-0.5386,-0.8091,-2.625,-0.244,-0.488,-146.486,17.617,-66.445
329,-0.3164,-0.5381,-0.8159,-2.502,-0.244,-0.488,-146.508,17.617,-66.44
348,-0.3149,-0.5425,-0.8223,-1.892,0.122,-0.549,-146.547,17.617,-66.429
359,-0.3149,-0.5425,-0.8223,-1.526,0.183,-0.488,-146.563,17.611,-66.429
378,-0.3145,-0.5469,-0.8252,-1.16,0.061,-0.488,-146.58,17.606,-66.418
