classifier,feature_set,pads_task,n_test,balanced_accuracy,sensitivity,specificity,macro_f1,auroc,auprc,tn,fp,fn,tp
LightGBM,B1_time,HoldWeight,313,0.7283789301755819,0.7341772151898734,0.7225806451612903,0.7283901462946516,0.7733360555328707,0.8055709646431441,112,43,42,116
LightGBM,B1_time,RelaxedTask,311,0.7112600314387358,0.6708860759493671,0.7516339869281046,0.7103683774834437,0.7789774137503103,0.8164655344516139,115,38,52,106
LightGBM,B1_time,Relaxed,315,0.6932148040638606,0.5723270440251572,0.8141025641025641,0.6879882363753331,0.7506047411707789,0.7939901939080869,127,29,68,91
LightGBM,B1_time,LiftHold,314,0.6923701298701299,0.625,0.7597402597402597,0.6901746569420286,0.7381087662337663,0.778832015415348,117,37,60,100
LightGBM,B1_time,StretchHold,316,0.6804448006411541,0.6770186335403726,0.6838709677419355,0.6803509369335083,0.7335604087357244,0.7819935376845286,106,49,52,109
LightGBM,B2_time_frequency,RelaxedTask,311,0.7622031935136924,0.7531645569620253,0.7712418300653595,0.7620554177005789,0.8480185323074377,0.8809032219676095,118,35,39,119
LightGBM,B2_time_frequency,Relaxed,315,0.7593130140299951,0.6981132075471698,0.8205128205128205,0.7580253901512088,0.8320432188356718,0.8613476239342044,128,28,48,111
LightGBM,B2_time_frequency,LiftHold,314,0.7592126623376623,0.69375,0.8246753246753247,0.7573317063249949,0.8380275974025974,0.8705084425772808,127,27,49,111
LightGBM,B2_time_frequency,StretchHold,316,0.7454417952314165,0.6521739130434783,0.8387096774193549,0.7420564138222934,0.8383891003806853,0.867711701795101,130,25,56,105
LightGBM,B2_time_frequency,HoldWeight,313,0.7444467129440588,0.740506329113924,0.7483870967741936,0.7444063367630247,0.8474887709269089,0.8824075571112333,116,39,41,117
XGBoost,B1_time,RelaxedTask,311,0.7242285099693886,0.6772151898734177,0.7712418300653595,0.7231262939958593,0.7671465210556796,0.8101138181326036,118,35,51,107
XGBoost,B1_time,HoldWeight,313,0.6802980808493262,0.7025316455696202,0.6580645161290323,0.6802468126838837,0.7731727235606369,0.8116898459250144,102,53,47,111
XGBoost,B1_time,LiftHold,314,0.6763798701298702,0.6125,0.7402597402597403,0.6743136058572301,0.7216314935064934,0.7695315191779658,114,40,62,98
XGBoost,B1_time,Relaxed,315,0.6710812772133528,0.5408805031446541,0.8012820512820513,0.6647015475313192,0.7402031930333818,0.7883405929319128,125,31,73,86
XGBoost,B1_time,StretchHold,316,0.6487878180725306,0.6459627329192547,0.6516129032258065,0.648702514847717,0.7291925465838509,0.7775697071553354,101,54,57,104
XGBoost,B2_time_frequency,LiftHold,314,0.7685876623376624,0.7125,0.8246753246753247,0.7671167464212055,0.8318181818181818,0.8662229086170082,127,27,46,114
XGBoost,B2_time_frequency,RelaxedTask,311,0.7591420534458508,0.740506329113924,0.7777777777777778,0.758832469989764,0.839124679407628,0.8779844995461192,119,34,41,117
XGBoost,B2_time_frequency,StretchHold,316,0.7552394309757564,0.6459627329192547,0.864516129032258,0.7509196006305833,0.8332197956321379,0.8668999033955511,134,21,57,104
XGBoost,B2_time_frequency,HoldWeight,313,0.7477950183748469,0.7278481012658228,0.7677419354838709,0.7475626065562055,0.8440996325030625,0.8794844644456112,119,36,43,115
XGBoost,B2_time_frequency,Relaxed,315,0.7402636671504597,0.6792452830188679,0.8012820512820513,0.7389221314789358,0.8247863247863247,0.8542325382542744,125,31,51,108
