level,rule,fold,classifier,feature_set,n_test_subjects,threshold,n_test,balanced_accuracy,sensitivity,specificity,macro_f1,auroc,auprc,tn,fp,fn,tp
recording,fixed_0.5,1,LightGBM,B1_time,32,0.5,311,0.7290671971706455,0.6564102564102564,0.8017241379310345,0.7068987182709223,0.7843059239610963,0.883451734677373,93,23,67,128
recording,selected,1,LightGBM,B1_time,32,0.543,311,0.7291777188328912,0.6307692307692307,0.8275862068965517,0.7019334944578715,0.7843059239610963,0.883451734677373,96,20,72,123
participant,fixed_0.5,1,LightGBM,B1_time,32,0.5,32,0.5416666666666666,1.0,0.08333333333333333,0.46907993966817496,0.9708333333333333,0.9870370370370369,1,11,0,20
participant,selected,1,LightGBM,B1_time,32,0.897,32,0.95,0.9,1.0,0.9352226720647774,0.9708333333333333,0.9870370370370369,12,0,2,18
recording,fixed_0.5,1,XGBoost,B1_time,32,0.5,311,0.7103006189213086,0.6102564102564103,0.8103448275862069,0.6828379953379953,0.7695844385499558,0.8722702102474947,94,22,76,119
recording,selected,1,XGBoost,B1_time,32,0.526,311,0.7069186560565871,0.5948717948717949,0.8189655172413793,0.6769837972579975,0.7695844385499558,0.8722702102474947,95,21,79,116
participant,fixed_0.5,1,XGBoost,B1_time,32,0.5,32,0.5416666666666666,1.0,0.08333333333333333,0.46907993966817496,0.9666666666666666,0.984537037037037,1,11,0,20
participant,selected,1,XGBoost,B1_time,32,0.833,32,0.95,0.9,1.0,0.9352226720647774,0.9666666666666666,0.984537037037037,12,0,2,18
recording,fixed_0.5,1,LightGBM,B2_time_frequency,32,0.5,311,0.7823165340406719,0.7025641025641025,0.8620689655172413,0.7586416645691753,0.8526967285587975,0.9239984136897796,100,16,58,137
recording,selected,1,LightGBM,B2_time_frequency,32,0.656,311,0.7946507515473034,0.6410256410256411,0.9482758620689655,0.7550572044437075,0.8526967285587975,0.9239984136897796,110,6,70,125
participant,fixed_0.5,1,LightGBM,B2_time_frequency,32,0.5,32,0.6,0.95,0.25,0.5833333333333333,0.9333333333333332,0.9718413978494623,3,9,1,19
participant,selected,1,LightGBM,B2_time_frequency,32,0.91,32,0.925,0.85,1.0,0.9039039039039038,0.9333333333333332,0.9718413978494623,12,0,3,17
recording,fixed_0.5,1,XGBoost,B2_time_frequency,32,0.5,311,0.7978116710875331,0.7076923076923077,0.8879310344827587,0.7720323364329396,0.8560123784261715,0.9259679914701038,103,13,57,138
recording,selected,1,XGBoost,B2_time_frequency,32,0.636,311,0.801525198938992,0.6461538461538462,0.9568965517241379,0.7615030674846626,0.8560123784261715,0.9259679914701038,111,5,69,126
participant,fixed_0.5,1,XGBoost,B2_time_frequency,32,0.5,32,0.5583333333333333,0.95,0.16666666666666666,0.5210884353741496,0.9416666666666665,0.9746376811594202,2,10,1,19
participant,selected,1,XGBoost,B2_time_frequency,32,0.948,32,0.925,0.85,1.0,0.9039039039039038,0.9416666666666665,0.9746376811594202,12,0,3,17
recording,fixed_0.5,2,LightGBM,B1_time,32,0.5,316,0.727159105111861,0.6984126984126984,0.7559055118110236,0.7178571428571429,0.7680289963754531,0.8487970556763476,96,31,57,132
recording,selected,2,LightGBM,B1_time,32,0.712,316,0.6776861225680123,0.4656084656084656,0.889763779527559,0.6337837974020215,0.7680289963754531,0.8487970556763476,113,14,101,88
participant,fixed_0.5,2,LightGBM,B1_time,32,0.5,32,0.5769230769230769,1.0,0.15384615384615385,0.5210884353741496,0.8380566801619433,0.900527057795289,2,11,0,19
participant,selected,2,LightGBM,B1_time,32,0.928,32,0.7651821862348178,0.6842105263157895,0.8461538461538461,0.7490196078431373,0.8380566801619433,0.900527057795289,11,2,6,13
recording,fixed_0.5,2,XGBoost,B1_time,32,0.5,316,0.6980585760113319,0.6402116402116402,0.7559055118110236,0.6847356168939143,0.7709036370453692,0.8556882624663005,96,31,68,121
recording,selected,2,XGBoost,B1_time,32,0.637,316,0.717368662250552,0.544973544973545,0.889763779527559,0.6832270740607082,0.7709036370453692,0.8556882624663005,113,14,86,103
participant,fixed_0.5,2,XGBoost,B1_time,32,0.5,32,0.5242914979757085,0.8947368421052632,0.15384615384615385,0.4793491864831039,0.8380566801619433,0.9043781202866542,2,11,2,17
participant,selected,2,XGBoost,B1_time,32,0.879,32,0.791497975708502,0.7368421052631579,0.8461538461538461,0.7793103448275862,0.8380566801619433,0.9043781202866542,11,2,5,14
recording,fixed_0.5,2,LightGBM,B2_time_frequency,32,0.5,316,0.7588426446694163,0.746031746031746,0.7716535433070866,0.7517320191414899,0.8473107528225639,0.9011235714053392,98,29,48,141
recording,selected,2,LightGBM,B2_time_frequency,32,0.547,316,0.761363162937966,0.7195767195767195,0.8031496062992126,0.750273556231003,0.8473107528225639,0.9011235714053392,102,25,53,136
participant,fixed_0.5,2,LightGBM,B2_time_frequency,32,0.5,32,0.6923076923076923,1.0,0.38461538461538464,0.6908212560386473,0.9311740890688258,0.9500790254049176,5,8,0,19
participant,selected,2,LightGBM,B2_time_frequency,32,0.963,32,0.8441295546558705,0.8421052631578947,0.8461538461538461,0.8398398398398399,0.9311740890688258,0.9500790254049176,11,2,3,16
recording,fixed_0.5,2,XGBoost,B2_time_frequency,32,0.5,316,0.7601341498979294,0.7407407407407407,0.7795275590551181,0.7521568627450981,0.8393950756155482,0.8991368947802917,99,28,49,140
recording,selected,2,XGBoost,B2_time_frequency,32,0.577,316,0.7560096654584844,0.6931216931216931,0.8188976377952756,0.7417857899462306,0.8393950756155482,0.8991368947802917,104,23,58,131
participant,fixed_0.5,2,XGBoost,B2_time_frequency,32,0.5,32,0.6923076923076923,1.0,0.38461538461538464,0.6908212560386473,0.9554655870445343,0.9683660230649803,5,8,0,19
participant,selected,2,XGBoost,B2_time_frequency,32,0.939,32,0.8704453441295547,0.8947368421052632,0.8461538461538461,0.8704453441295547,0.9554655870445343,0.9683660230649803,11,2,2,17
