level,rule,classifier,feature_set,balanced_accuracy_mean,balanced_accuracy_std,sensitivity_mean,specificity_mean,macro_f1_mean,auroc_mean,threshold_mean
participant,fixed_0.5,LightGBM,B1_time,0.5414,0.0211,0.9882,0.0946,0.4242,0.899,0.5
participant,fixed_0.5,LightGBM,B2_time_frequency,0.6331,0.0477,0.99,0.2762,0.5734,0.9594,0.5
participant,fixed_0.5,XGBoost,B1_time,0.5435,0.0324,0.9789,0.108,0.4314,0.8964,0.5
participant,fixed_0.5,XGBoost,B2_time_frequency,0.6312,0.0621,0.99,0.2724,0.5701,0.9699,0.5
participant,selected,LightGBM,B1_time,0.7969,0.1103,0.69,0.9038,0.7833,0.899,0.932
participant,selected,LightGBM,B2_time_frequency,0.8972,0.0596,0.8358,0.9587,0.8909,0.9594,0.9546
participant,selected,XGBoost,B1_time,0.7888,0.1107,0.7159,0.8617,0.7712,0.8964,0.8996
participant,selected,XGBoost,B2_time_frequency,0.8924,0.0305,0.826,0.9587,0.8898,0.9699,0.9552
recording,fixed_0.5,LightGBM,B1_time,0.7083,0.0336,0.6629,0.7538,0.6956,0.7676,0.5
recording,fixed_0.5,LightGBM,B2_time_frequency,0.7615,0.0371,0.7158,0.8073,0.7487,0.8496,0.5
recording,fixed_0.5,XGBoost,B1_time,0.6929,0.0242,0.6485,0.7372,0.676,0.7637,0.5
recording,fixed_0.5,XGBoost,B2_time_frequency,0.761,0.0388,0.7069,0.8151,0.7485,0.8456,0.5
recording,selected,LightGBM,B1_time,0.694,0.034,0.5123,0.8757,0.6738,0.7676,0.6702
recording,selected,LightGBM,B2_time_frequency,0.7637,0.0373,0.6723,0.8551,0.7512,0.8496,0.5856
recording,selected,XGBoost,B1_time,0.7011,0.0308,0.5508,0.8515,0.6863,0.7637,0.6148
recording,selected,XGBoost,B2_time_frequency,0.7617,0.0417,0.6618,0.8617,0.7464,0.8456,0.5832
