evaluation,fold,model,n_test,balanced_accuracy,sensitivity,specificity,macro_f1,auroc,auprc,tn,fp,fn,tp
LOSO,BIBI,B0_amplitude,20,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,10,0,0,10
LOSO,BIBI,B1_time,20,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,10,0,0,10
LOSO,BIBI,B2_time_frequency,20,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,10,0,0,10
LOSO,anna,B0_amplitude,40,0.95,1.0,0.9,0.949874686716792,1.0,1.0,18,2,0,20
LOSO,anna,B1_time,40,1.0,1.0,1.0,1.0,1.0,1.0,20,0,0,20
LOSO,anna,B2_time_frequency,40,1.0,1.0,1.0,1.0,1.0,1.0,20,0,0,20
LOSO,euno,B0_amplitude,50,1.0,1.0,1.0,1.0,1.0,1.0,25,0,0,25
LOSO,euno,B1_time,50,1.0,1.0,1.0,1.0,1.0,1.0,25,0,0,25
LOSO,euno,B2_time_frequency,50,1.0,1.0,1.0,1.0,1.0,1.0,25,0,0,25
LOSO,march,B0_amplitude,20,0.75,0.5,1.0,0.7333333333333334,1.0,0.9999999999999999,10,0,5,5
LOSO,march,B1_time,20,0.85,0.7,1.0,0.8465473145780051,1.0,0.9999999999999999,10,0,3,7
LOSO,march,B2_time_frequency,20,0.85,0.7,1.0,0.8465473145780051,1.0,0.9999999999999999,10,0,3,7
LOSO,mu,B0_amplitude,40,0.95,1.0,0.9,0.949874686716792,0.995,0.9951190476190477,18,2,0,20
LOSO,mu,B1_time,40,1.0,1.0,1.0,1.0,1.0,1.0,20,0,0,20
LOSO,mu,B2_time_frequency,40,1.0,1.0,1.0,1.0,1.0,1.0,20,0,0,20
LOSO,seojin,B0_amplitude,50,1.0,1.0,1.0,1.0,1.0,1.0,25,0,0,25
LOSO,seojin,B1_time,50,1.0,1.0,1.0,1.0,1.0,1.0,25,0,0,25
LOSO,seojin,B2_time_frequency,50,1.0,1.0,1.0,1.0,1.0,1.0,25,0,0,25
cross_dataset,dataset_a_to_dataset_b,B0_amplitude,80,0.925,1.0,0.85,0.9245757385292269,0.9762500000000001,0.9748246222516841,34,6,0,40
cross_dataset,dataset_a_to_dataset_b,B1_time,80,0.9625,1.0,0.925,0.9624471913628541,0.99875,0.998765243902439,37,3,0,40
cross_dataset,dataset_a_to_dataset_b,B2_time_frequency,80,0.975,1.0,0.95,0.9749843652282677,1.0,1.0,38,2,0,40
cross_dataset,dataset_b_to_dataset_a,B0_amplitude,140,0.9571428571428571,0.9142857142857143,1.0,0.957063995093028,1.0,0.9999999999999998,70,0,6,64
cross_dataset,dataset_b_to_dataset_a,B1_time,140,0.9785714285714286,0.9571428571428572,1.0,0.9785615844010005,1.0,0.9999999999999998,70,0,3,67
cross_dataset,dataset_b_to_dataset_a,B2_time_frequency,140,0.9928571428571429,0.9857142857142858,1.0,0.9928567784070617,0.9997959183673469,0.999798792756539,70,0,1,69
