evaluation,fold,classifier,feature_set,n_test,balanced_accuracy,sensitivity,specificity,macro_f1,auroc,auprc,tn,fp,fn,tp
LOSO,BIBI,RBF_SVM,B1_time,20,0.95,1.0,0.9,0.949874686716792,1.0,0.9999999999999999,9,1,0,10
LOSO,BIBI,Random_Forest,B1_time,20,1.0,1.0,1.0,1.0,1.0,1.0,10,0,0,10
LOSO,BIBI,RBF_SVM,B2_time_frequency,20,0.95,1.0,0.9,0.949874686716792,1.0,0.9999999999999999,9,1,0,10
LOSO,BIBI,Random_Forest,B2_time_frequency,20,1.0,1.0,1.0,1.0,1.0,1.0,10,0,0,10
LOSO,anna,RBF_SVM,B1_time,40,1.0,1.0,1.0,1.0,1.0,1.0,20,0,0,20
LOSO,anna,Random_Forest,B1_time,40,1.0,1.0,1.0,1.0,1.0,1.0,20,0,0,20
LOSO,anna,RBF_SVM,B2_time_frequency,40,1.0,1.0,1.0,1.0,1.0,1.0,20,0,0,20
LOSO,anna,Random_Forest,B2_time_frequency,40,1.0,1.0,1.0,1.0,1.0,1.0,20,0,0,20
LOSO,euno,RBF_SVM,B1_time,50,1.0,1.0,1.0,1.0,1.0,1.0,25,0,0,25
LOSO,euno,Random_Forest,B1_time,50,1.0,1.0,1.0,1.0,1.0,1.0,25,0,0,25
LOSO,euno,RBF_SVM,B2_time_frequency,50,1.0,1.0,1.0,1.0,1.0,1.0,25,0,0,25
LOSO,euno,Random_Forest,B2_time_frequency,50,1.0,1.0,1.0,1.0,1.0,1.0,25,0,0,25
LOSO,march,RBF_SVM,B1_time,20,0.9,0.8,1.0,0.898989898989899,1.0,0.9999999999999999,10,0,2,8
LOSO,march,Random_Forest,B1_time,20,0.9,0.8,1.0,0.898989898989899,1.0,1.0,10,0,2,8
LOSO,march,RBF_SVM,B2_time_frequency,20,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,10,0,0,10
LOSO,march,Random_Forest,B2_time_frequency,20,0.95,0.9,1.0,0.949874686716792,1.0,0.9999999999999999,10,0,1,9
LOSO,mu,RBF_SVM,B1_time,40,1.0,1.0,1.0,1.0,1.0,1.0,20,0,0,20
LOSO,mu,Random_Forest,B1_time,40,0.975,1.0,0.95,0.9749843652282677,1.0,1.0,19,1,0,20
LOSO,mu,RBF_SVM,B2_time_frequency,40,1.0,1.0,1.0,1.0,1.0,1.0,20,0,0,20
LOSO,mu,Random_Forest,B2_time_frequency,40,1.0,1.0,1.0,1.0,1.0,1.0,20,0,0,20
LOSO,seojin,RBF_SVM,B1_time,50,1.0,1.0,1.0,1.0,1.0,1.0,25,0,0,25
LOSO,seojin,Random_Forest,B1_time,50,1.0,1.0,1.0,1.0,1.0,1.0,25,0,0,25
LOSO,seojin,RBF_SVM,B2_time_frequency,50,1.0,1.0,1.0,1.0,1.0,1.0,25,0,0,25
LOSO,seojin,Random_Forest,B2_time_frequency,50,1.0,1.0,1.0,1.0,1.0,1.0,25,0,0,25
cross_dataset,dataset_a_to_dataset_b,RBF_SVM,B1_time,80,0.9625,1.0,0.925,0.9624471913628541,1.0,1.0,37,3,0,40
cross_dataset,dataset_a_to_dataset_b,Random_Forest,B1_time,80,0.975,1.0,0.95,0.9749843652282677,1.0,1.0,38,2,0,40
cross_dataset,dataset_a_to_dataset_b,RBF_SVM,B2_time_frequency,80,0.975,1.0,0.95,0.9749843652282677,1.0,1.0,38,2,0,40
cross_dataset,dataset_a_to_dataset_b,Random_Forest,B2_time_frequency,80,0.9875,1.0,0.975,0.9874980465697765,1.0,1.0,39,1,0,40
cross_dataset,dataset_b_to_dataset_a,RBF_SVM,B1_time,140,0.9785714285714286,0.9714285714285714,0.9857142857142858,0.9785703352211848,0.9991836734693879,0.9991775877527984,69,1,2,68
cross_dataset,dataset_b_to_dataset_a,Random_Forest,B1_time,140,0.9857142857142858,0.9714285714285714,1.0,0.985711369667279,1.0,0.9999999999999999,70,0,2,68
cross_dataset,dataset_b_to_dataset_a,RBF_SVM,B2_time_frequency,140,0.9785714285714286,1.0,0.9571428571428572,0.9785615844010005,1.0,0.9999999999999998,67,3,0,70
cross_dataset,dataset_b_to_dataset_a,Random_Forest,B2_time_frequency,140,0.9928571428571429,0.9857142857142858,1.0,0.9928567784070617,0.9999999999999999,1.0,70,0,1,69
