window_seconds,evaluation,fold,sensor,model,n_test,balanced_accuracy,sensitivity,specificity,macro_f1,auroc,auprc,tn,fp,fn,tp
2.0,LOSO,BIBI,acc,B1_time,20,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,10,0,0,10
2.0,LOSO,BIBI,acc,B2_time_frequency,20,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,10,0,0,10
2.0,LOSO,BIBI,gyro,B1_time,20,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,10,0,0,10
2.0,LOSO,BIBI,gyro,B2_time_frequency,20,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,10,0,0,10
2.0,LOSO,BIBI,both,B1_time,20,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,10,0,0,10
2.0,LOSO,BIBI,both,B2_time_frequency,20,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,10,0,0,10
2.0,LOSO,anna,acc,B1_time,40,1.0,1.0,1.0,1.0,1.0,1.0,20,0,0,20
2.0,LOSO,anna,acc,B2_time_frequency,40,1.0,1.0,1.0,1.0,1.0,1.0,20,0,0,20
2.0,LOSO,anna,gyro,B1_time,40,1.0,1.0,1.0,1.0,1.0,1.0,20,0,0,20
2.0,LOSO,anna,gyro,B2_time_frequency,40,1.0,1.0,1.0,1.0,1.0,1.0,20,0,0,20
2.0,LOSO,anna,both,B1_time,40,1.0,1.0,1.0,1.0,1.0,1.0,20,0,0,20
2.0,LOSO,anna,both,B2_time_frequency,40,1.0,1.0,1.0,1.0,1.0,1.0,20,0,0,20
2.0,LOSO,euno,acc,B1_time,50,1.0,1.0,1.0,1.0,1.0,1.0,25,0,0,25
2.0,LOSO,euno,acc,B2_time_frequency,50,1.0,1.0,1.0,1.0,1.0,1.0,25,0,0,25
2.0,LOSO,euno,gyro,B1_time,50,1.0,1.0,1.0,1.0,1.0,1.0,25,0,0,25
2.0,LOSO,euno,gyro,B2_time_frequency,50,1.0,1.0,1.0,1.0,1.0,1.0,25,0,0,25
2.0,LOSO,euno,both,B1_time,50,1.0,1.0,1.0,1.0,1.0,1.0,25,0,0,25
2.0,LOSO,euno,both,B2_time_frequency,50,1.0,1.0,1.0,1.0,1.0,1.0,25,0,0,25
2.0,LOSO,march,acc,B1_time,20,0.8,0.6,1.0,0.7916666666666667,1.0,0.9999999999999999,10,0,4,6
2.0,LOSO,march,acc,B2_time_frequency,20,0.8,0.6,1.0,0.7916666666666667,1.0,0.9999999999999999,10,0,4,6
2.0,LOSO,march,gyro,B1_time,20,0.95,0.9,1.0,0.949874686716792,1.0,0.9999999999999999,10,0,1,9
2.0,LOSO,march,gyro,B2_time_frequency,20,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,10,0,0,10
2.0,LOSO,march,both,B1_time,20,0.8,0.6,1.0,0.7916666666666667,1.0,0.9999999999999999,10,0,4,6
2.0,LOSO,march,both,B2_time_frequency,20,0.9,0.8,1.0,0.898989898989899,1.0,0.9999999999999999,10,0,2,8
2.0,LOSO,mu,acc,B1_time,40,0.975,1.0,0.95,0.9749843652282677,1.0,1.0,19,1,0,20
2.0,LOSO,mu,acc,B2_time_frequency,40,1.0,1.0,1.0,1.0,1.0,1.0,20,0,0,20
2.0,LOSO,mu,gyro,B1_time,40,1.0,1.0,1.0,1.0,1.0,1.0,20,0,0,20
2.0,LOSO,mu,gyro,B2_time_frequency,40,0.925,0.85,1.0,0.9245757385292269,1.0,1.0,20,0,3,17
2.0,LOSO,mu,both,B1_time,40,1.0,1.0,1.0,1.0,1.0,1.0,20,0,0,20
2.0,LOSO,mu,both,B2_time_frequency,40,0.975,0.95,1.0,0.9749843652282677,1.0,1.0,20,0,1,19
2.0,LOSO,seojin,acc,B1_time,50,1.0,1.0,1.0,1.0,1.0,1.0,25,0,0,25
2.0,LOSO,seojin,acc,B2_time_frequency,50,1.0,1.0,1.0,1.0,1.0,1.0,25,0,0,25
2.0,LOSO,seojin,gyro,B1_time,50,1.0,1.0,1.0,1.0,1.0,1.0,25,0,0,25
2.0,LOSO,seojin,gyro,B2_time_frequency,50,1.0,1.0,1.0,1.0,1.0,1.0,25,0,0,25
2.0,LOSO,seojin,both,B1_time,50,1.0,1.0,1.0,1.0,1.0,1.0,25,0,0,25
2.0,LOSO,seojin,both,B2_time_frequency,50,1.0,1.0,1.0,1.0,1.0,1.0,25,0,0,25
2.0,cross_dataset,dataset_a_to_dataset_b,acc,B1_time,80,0.9875,1.0,0.975,0.9874980465697765,1.0,1.0,39,1,0,40
2.0,cross_dataset,dataset_a_to_dataset_b,acc,B2_time_frequency,80,0.9875,1.0,0.975,0.9874980465697765,1.0,1.0,39,1,0,40
2.0,cross_dataset,dataset_a_to_dataset_b,gyro,B1_time,80,0.9625,1.0,0.925,0.9624471913628541,0.999375,0.999390243902439,37,3,0,40
2.0,cross_dataset,dataset_a_to_dataset_b,gyro,B2_time_frequency,80,0.95,0.9,1.0,0.949874686716792,1.0,1.0,40,0,4,36
2.0,cross_dataset,dataset_a_to_dataset_b,both,B1_time,80,0.9875,1.0,0.975,0.9874980465697765,1.0,1.0,39,1,0,40
2.0,cross_dataset,dataset_a_to_dataset_b,both,B2_time_frequency,80,0.9875,0.975,1.0,0.9874980465697765,1.0,1.0,40,0,1,39
2.0,cross_dataset,dataset_b_to_dataset_a,acc,B1_time,140,0.9714285714285714,0.9428571428571428,1.0,0.9714052287581699,1.0,0.9999999999999998,70,0,4,66
2.0,cross_dataset,dataset_b_to_dataset_a,acc,B2_time_frequency,140,0.9714285714285714,0.9428571428571428,1.0,0.9714052287581699,0.9981632653061225,0.9982988842143771,70,0,4,66
2.0,cross_dataset,dataset_b_to_dataset_a,gyro,B1_time,140,1.0,1.0,1.0,1.0,1.0,0.9999999999999998,70,0,0,70
2.0,cross_dataset,dataset_b_to_dataset_a,gyro,B2_time_frequency,140,0.9857142857142858,1.0,0.9714285714285714,0.985711369667279,1.0,0.9999999999999998,68,2,0,70
2.0,cross_dataset,dataset_b_to_dataset_a,both,B1_time,140,0.9785714285714286,0.9571428571428572,1.0,0.9785615844010005,1.0,0.9999999999999998,70,0,3,67
